"type","hole","numPoint","lat","lon"
"Pin","1","0",-29.824022982402,31.035888403589
"Target","1","1",-29.825330682533,31.035772303577
"Tee","1","0",-29.827029882703,31.034929903493
"Pin","2","0",-29.82230308223,31.03589650359
"Tee","2","0",-29.823806982381,31.03559950356
"Pin","3","0",-29.817713981771,31.035915403592
"Target","3","1",-29.819935181994,31.036050403605
"Target","3","2",-29.818414181841,31.036054903605
"Tee","3","0",-29.821906182191,31.036170103617
"Pin","4","0",-29.818144181814,31.03659940366
"Tee","4","0",-29.816777081678,31.035951403595
"Pin","5","0",-29.814586481459,31.037011603701
"Target","5","1",-29.816320781632,31.036744303674
"Tee","5","0",-29.818370081837,31.036927903693
"Pin","6","0",-29.813843081384,31.034193703419
"Target","6","1",-29.814276881428,31.03509640351
"Tee","6","0",-29.814245381425,31.037466103747
"Pin","7","0",-29.816252381625,31.035725503573
"Target","7","1",-29.815312781531,31.035129703513
"Tee","7","0",-29.813708081371,31.033805803381
"Pin","8","0",-29.820689382069,31.035433003543
"Target","8","1",-29.818721081872,31.035045103505
"Target","8","2",-29.820389682039,31.035324103532
"Tee","8","0",-29.816643881664,31.035372703537
"Pin","9","0",-29.817663581766,31.033889503389
"Target","9","1",-29.818910981891,31.033928203393
"Tee","9","0",-29.820944982095,31.035171103517
"Pin","10","0",-29.814543281454,31.033242403324
"Target","10","1",-29.816829281683,31.033360303336
"Target","10","2",-29.814980681498,31.033264903327
"Tee","10","0",-29.819131481913,31.033435903344
"Pin","11","0",-29.818254881825,31.034377303438
"Target","11","1",-29.816587181659,31.034418703442
"Tee","11","0",-29.814412781441,31.033545703355
"Pin","12","0",-29.816834681683,31.035041503504
"Tee","12","0",-29.818063181806,31.034713003471
"Pin","13","0",-29.813978081398,31.033621303362
"Target","13","1",-29.814662981466,31.034047003405
"Tee","13","0",-29.816444081644,31.035026203503
"Pin","14","0",-29.818019981802,31.032724003272
"Target","14","1",-29.815991381599,31.032418903242
"Target","14","2",-29.81770408177,31.032676303268
"Tee","14","0",-29.813750381375,31.033030003303
"Pin","15","0",-29.819247581925,31.032856303286
"Tee","15","0",-29.817938081794,31.031826703183
"Pin","16","0",-29.822568582257,31.034625703463
"Target","16","1",-29.82139588214,31.034407003441
"Tee","16","0",-29.819552681955,31.032816703282
"Pin","17","0",-29.824939182494,31.035140503514
"Target","17","1",-29.823947382395,31.035105403511
"Tee","17","0",-29.821655082166,31.035353803535
"Pin","18","0",-29.826817482682,31.034723803472
"Target","18","1",-29.826557382656,31.034736403474
"Tee","18","0",-29.824583682458,31.034724703472
