"type","hole","numPoint","lat","lon"
"Pin","1","0",34.286965928697,-77.761973376197
"Target","1","1",34.285932728593,-77.761490076149
"Tee","1","0",34.284519728452,-77.759682875968
"Pin","2","0",34.287083828708,-77.760962676096
"Tee","2","0",34.287609428761,-77.762435076244
"Pin","3","0",34.289625428963,-77.763652776365
"Target","3","1",34.289019728902,-77.762848176285
"Tee","3","0",34.287511328751,-77.760742176074
"Pin","4","0",34.287482528748,-77.759639675964
"Target","4","1",34.289415728942,-77.761655676166
"Target","4","2",34.287924428792,-77.760248076025
"Tee","4","0",34.290363429036,-77.76430437643
"Pin","5","0",34.286281928628,-77.758618175862
"Tee","5","0",34.28790192879,-77.759272475927
"Pin","6","0",34.289672228967,-77.760887076089
"Target","6","1",34.288407728841,-77.75869917587
"Target","6","2",34.289387828939,-77.760480276048
"Tee","6","0",34.286427728643,-77.757277175728
"Pin","7","0",34.289475128948,-77.758475975848
"Target","7","1",34.289950328995,-77.759207675921
"Tee","7","0",34.290381429038,-77.761742976174
"Pin","8","0",34.286456528646,-77.756622875662
"Target","8","1",34.287647228765,-77.757107075711
"Tee","8","0",34.289836028984,-77.757971975797
"Pin","9","0",34.282310228231,-77.75819967582
"Target","9","1",34.283434328343,-77.757587675759
"Tee","9","0",34.285248728525,-77.755871375587
"Pin","10","0",34.281849428185,-77.759036675904
"Tee","10","0",34.283327228333,-77.758523675852
"Pin","11","0",34.284583628458,-77.763494376349
"Target","11","1",34.284176828418,-77.762071476207
"Tee","11","0",34.282431728243,-77.760575676058
"Pin","12","0",34.287582428758,-77.766567876657
"Target","12","1",34.285959728596,-77.76470037647
"Target","12","2",34.287050528705,-77.766319476632
"Tee","12","0",34.284637628464,-77.76229827623
"Pin","13","0",34.290323829032,-77.766557076656
"Target","13","1",34.289653328965,-77.767170876717
"Tee","13","0",34.287374528737,-77.767568676757
"Pin","14","0",34.287952328795,-77.76290397629
"Target","14","1",34.288978328898,-77.764172076417
"Tee","14","0",34.290649629065,-77.766160176616
"Pin","15","0",34.286082128608,-77.762324376232
"Tee","15","0",34.28769582877,-77.763333276333
"Pin","16","0",34.289322128932,-77.765532876553
"Target","16","1",34.288294328829,-77.764607676461
"Tee","16","0",34.286418728642,-77.762990376299
"Pin","17","0",34.286558228656,-77.76409737641
"Target","17","1",34.28749512875,-77.76519807652
"Tee","17","0",34.289608328961,-77.76630507663
"Pin","18","0",34.282837628284,-77.759436275944
"Target","18","1",34.284649328465,-77.761327176133
"Target","18","2",34.283462228346,-77.759878175988
"Tee","18","0",34.286259428626,-77.763456576346
