"type","hole","numPoint","lat","lon"
"Pin","1","0",38.3069972307,-75.128835012883
"Target","1","1",38.305989230599,-75.129250812925
"Tee","1","0",38.304020930402,-75.130670113067
"Pin","2","0",38.310832131083,-75.128133012813
"Target","2","1",38.30970173097,-75.128533512853
"Tee","2","0",38.30739953074,-75.128585712859
"Pin","3","0",38.305791230579,-75.130353313035
"Target","3","1",38.30809703081,-75.129321012932
"Target","3","2",38.30630333063,-75.12990061299
"Tee","3","0",38.310415431042,-75.128886312889
"Pin","4","0",38.309352530935,-75.130077013008
"Target","4","1",38.308310330831,-75.129991512999
"Tee","4","0",38.306054930605,-75.13080151308
"Pin","5","0",38.307780230778,-75.131067013107
"Tee","5","0",38.309173430917,-75.130487413049
"Pin","6","0",38.304534830453,-75.131085913109
"Target","6","1",38.305586930559,-75.132210013221
"Tee","6","0",38.307643430764,-75.131463913146
"Pin","7","0",38.300619830062,-75.132325213232
"Target","7","1",38.30249543025,-75.133464613346
"Target","7","2",38.301366830137,-75.133173013317
"Tee","7","0",38.303819330382,-75.131670913167
"Pin","8","0",38.301251630125,-75.134240413424
"Tee","8","0",38.300333630033,-75.133036213304
"Pin","9","0",38.303960630396,-75.132681613268
"Target","9","1",38.303267630327,-75.13380121338
"Tee","9","0",38.301676430168,-75.135460813546
"Pin","10","0",38.301266030127,-75.127832412783
"Target","10","1",38.301549530155,-75.128340012834
"Tee","10","0",38.302764530276,-75.130321813032
"Pin","11","0",38.305946930595,-75.125681412568
"Target","11","1",38.303581730358,-75.125550012555
"Target","11","2",38.305460930546,-75.125830812583
"Tee","11","0",38.301832130183,-75.12720421272
"Pin","12","0",38.304974930498,-75.124905612491
"Tee","12","0",38.306412230641,-75.125214312521
"Pin","13","0",38.301935630194,-75.121547712155
"Target","13","1",38.303508830351,-75.123218112322
"Target","13","2",38.302365830237,-75.122019312202
"Tee","13","0",38.305621130562,-75.124511412451
"Pin","14","0",38.30450153045,-75.124874112487
"Target","14","1",38.303351330335,-75.123908412391
"Tee","14","0",38.301572930157,-75.121883412188
"Pin","15","0",38.301423530142,-75.122607012261
"Target","15","1",38.302068830207,-75.123750912375
"Tee","15","0",38.304004730401,-75.125136912514
"Pin","16","0",38.301761030176,-75.126434712643
"Target","16","1",38.301861830186,-75.125684112568
"Tee","16","0",38.301078830108,-75.123036312304
"Pin","17","0",38.300619830062,-75.129143712914
"Tee","17","0",38.300285030029,-75.127049412705
"Pin","18","0",38.302737530274,-75.131321713132
"Target","18","1",38.301570230157,-75.130438813044
"Tee","18","0",38.299822429982,-75.129846612985
