"type","hole","numPoint","lat","lon"
"Pin","1","0",33.74419837442,-84.307153830715
"Target","1","1",33.744157874416,-84.305763330576
"Tee","1","0",33.744071474407,-84.3029958303
"Pin","2","0",33.744742874474,-84.305509530551
"Tee","2","0",33.744457574446,-84.307593030759
"Pin","3","0",33.744889574489,-84.309092430909
"Target","3","1",33.744832874483,-84.308007930801
"Tee","3","0",33.7450038745,-84.305246730525
"Pin","4","0",33.741446174145,-84.309052830905
"Target","4","1",33.742794374279,-84.309067230907
"Tee","4","0",33.745064174506,-84.309535230954
"Pin","5","0",33.740542574054,-84.30369873037
"Target","5","1",33.740930474093,-84.306385230639
"Target","5","2",33.740658674066,-84.304283730428
"Tee","5","0",33.740884574088,-84.30920313092
"Pin","6","0",33.741406574141,-84.303419730342
"Tee","6","0",33.740079074008,-84.303071430307
"Pin","7","0",33.741539774154,-84.3080007308
"Target","7","1",33.74189887419,-84.306414030641
"Tee","7","0",33.741720674172,-84.303553830355
"Pin","8","0",33.743958074396,-84.308692830869
"Target","8","1",33.742824974283,-84.308060130806
"Tee","8","0",33.740557874056,-84.308771130877
"Pin","9","0",33.743508974351,-84.303513330351
"Target","9","1",33.743580974358,-84.306524730652
"Target","9","2",33.743641274364,-84.304350330435
"Tee","9","0",33.744445874445,-84.30919773092
"Pin","10","0",33.744309974431,-84.297572429757
"Target","10","1",33.74460157446,-84.299785529979
"Target","10","2",33.74450347445,-84.298058429806
"Tee","10","0",33.744833774483,-84.302540430254
"Pin","11","0",33.744276674428,-84.295684229568
"Tee","11","0",33.744751874475,-84.297519329752
"Pin","12","0",33.743790674379,-84.29930312993
"Target","12","1",33.743718674372,-84.298206929821
"Tee","12","0",33.743739374374,-84.295437629544
"Pin","13","0",33.74329747433,-84.295577129558
"Target","13","1",33.743110274311,-84.297420329742
"Tee","13","0",33.743326274333,-84.300276030028
"Pin","14","0",33.742735874274,-84.299809829981
"Target","14","1",33.742742174274,-84.298263629826
"Tee","14","0",33.742713374271,-84.295445729545
"Pin","15","0",33.741024974103,-84.295724729572
"Target","15","1",33.741888974189,-84.297825329783
"Target","15","2",33.741213974121,-84.296021729602
"Tee","15","0",33.741816974182,-84.300592830059
"Pin","16","0",33.740718974072,-84.300389430039
"Target","16","1",33.740579474058,-84.298482329848
"Tee","16","0",33.740168174017,-84.295657229566
"Pin","17","0",33.743772674377,-84.300877230088
"Target","17","1",33.742651274265,-84.300957330096
"Tee","17","0",33.740349074035,-84.300989730099
"Pin","18","0",33.744278474428,-84.302448630245
"Tee","18","0",33.7440021744,-84.300147330015
