"type","hole","numPoint","lat","lon"
"Pin","1","0",-33.928325792833,151.21966752197
"Target","1","1",-33.927658892766,151.21963872196
"Tee","1","0",-33.926281892628,151.22089332209
"Pin","2","0",-33.93349989335,151.219951922
"Target","2","1",-33.933083193308,151.22013552201
"Tee","2","0",-33.931171593117,151.22048202205
"Pin","3","0",-33.935576193558,151.21912212191
"Target","3","1",-33.934929993493,151.21939392194
"Tee","3","0",-33.933353193335,151.22055942206
"Pin","4","0",-33.938662293866,151.21416042142
"Target","4","1",-33.937422993742,151.21580922158
"Target","4","2",-33.938484093848,151.21456452146
"Tee","4","0",-33.936214293621,151.21817082182
"Pin","5","0",-33.939018693902,151.21068912107
"Target","5","1",-33.938737893874,151.21177902118
"Tee","5","0",-33.93929679393,151.21385262139
"Pin","6","0",-33.93920139392,151.20724842072
"Target","6","1",-33.939312993931,151.20861012086
"Tee","6","0",-33.938286093829,151.21109412111
"Pin","7","0",-33.938061993806,151.2030265203
"Target","7","1",-33.939373293937,151.20532332053
"Target","7","2",-33.938376093838,151.20338562034
"Tee","7","0",-33.939677493968,151.20807372081
"Pin","8","0",-33.937431993743,151.19957951996
"Target","8","1",-33.937584993759,151.20085122009
"Tee","8","0",-33.938577693858,151.20307692031
"Pin","9","0",-33.937652493765,151.20235602024
"Tee","9","0",-33.937233093723,151.20053712005
"Pin","10","0",-33.937045893705,151.20618822062
"Target","10","1",-33.937092693709,151.20546282055
"Tee","10","0",-33.937149393715,151.20278712028
"Pin","11","0",-33.938134893814,151.20414432041
"Target","11","1",-33.937926093793,151.20566172057
"Tee","11","0",-33.938063793806,151.20843192084
"Pin","12","0",-33.938355393836,151.20958932096
"Target","12","1",-33.938475093848,151.20685242069
"Target","12","2",-33.938379693838,151.20917892092
"Tee","12","0",-33.938426493843,151.20407772041
"Pin","13","0",-33.937653393765,151.21032282103
"Tee","13","0",-33.938085393809,151.20874692087
"Pin","14","0",-33.937032393703,151.2140164214
"Target","14","1",-33.937292493729,151.21354572135
"Tee","14","0",-33.93750399375,151.21138032114
"Pin","15","0",-33.935722893572,151.21831212183
"Target","15","1",-33.936470793647,151.21638522164
"Target","15","2",-33.935977593598,151.2180151218
"Tee","15","0",-33.93760209376,151.2139678214
"Pin","16","0",-33.933906693391,151.21939212194
"Tee","16","0",-33.935075793508,151.21835262184
"Pin","17","0",-33.93179979318,151.220044622
"Tee","17","0",-33.933057993306,151.21928412193
"Pin","18","0",-33.926722892672,151.22082222208
"Target","18","1",-33.927558992756,151.22043072204
"Tee","18","0",-33.929843192984,151.22007972201
