"type","hole","numPoint","lat","lon"
"Pin","1","0",20.695337369534,-87.030107703011
"Target","1","1",20.69310446931,-87.030928503093
"Target","1","2",20.694837869484,-87.030239103024
"Tee","1","0",20.690760869076,-87.03089610309
"Pin","2","0",20.69510156951,-87.030722403072
"Tee","2","0",20.696075369608,-87.029968202997
"Pin","3","0",20.691262169126,-87.03139560314
"Target","3","1",20.692724669272,-87.031640403164
"Tee","3","0",20.695018769502,-87.031127403113
"Pin","4","0",20.688474868847,-87.02679840268
"Target","4","1",20.688760168876,-87.02809620281
"Tee","4","0",20.689643968964,-87.030416403042
"Pin","5","0",20.688685468869,-87.022812302281
"Target","5","1",20.689041868904,-87.024031802403
"Tee","5","0",20.6890040689,-87.026492402649
"Pin","6","0",20.685661468566,-87.021430802143
"Target","6","1",20.686557868656,-87.02149560215
"Tee","6","0",20.688750268875,-87.022246202225
"Pin","7","0",20.684522968452,-87.020953802095
"Tee","7","0",20.685313168531,-87.021517202152
"Pin","8","0",20.688482068848,-87.02570130257
"Target","8","1",20.68780346878,-87.023532302353
"Target","8","2",20.688490168849,-87.025226102523
"Tee","8","0",20.685925168593,-87.022034702203
"Pin","9","0",20.69019836902,-87.029992502999
"Target","9","1",20.689688968969,-87.0289953029
"Tee","9","0",20.689081468908,-87.026621102662
"Pin","10","0",20.688140968814,-87.032916603292
"Tee","10","0",20.689663768966,-87.032355903236
"Pin","11","0",20.68590266859,-87.035010903501
"Target","11","1",20.686232968623,-87.03429990343
"Tee","11","0",20.687365168737,-87.032258703226
"Pin","12","0",20.683361068336,-87.031593603159
"Target","12","1",20.68409816841,-87.032787903279
"Tee","12","0",20.685435568544,-87.034844403484
"Pin","13","0",20.680058068006,-87.027562502756
"Target","13","1",20.681191168119,-87.029254502925
"Target","13","2",20.680365868037,-87.027733502773
"Tee","13","0",20.682756268276,-87.031059903106
"Pin","14","0",20.680452268045,-87.023641202364
"Target","14","1",20.679778167978,-87.02489580249
"Tee","14","0",20.679659367966,-87.027353702735
"Pin","15","0",20.681642068164,-87.021471302147
"Tee","15","0",20.680661068066,-87.022321802232
"Pin","16","0",20.683955068396,-87.025674302567
"Target","16","1",20.682623968262,-87.024428702443
"Tee","16","0",20.68179506818,-87.021991502199
"Pin","17","0",20.685230368523,-87.028973702897
"Target","17","1",20.684843368484,-87.028043102804
"Tee","17","0",20.683712068371,-87.0260019026
"Pin","18","0",20.689022068902,-87.031032903103
"Target","18","1",20.687765668777,-87.030389403039
"Tee","18","0",20.685556168556,-87.029429102943
