"type","hole","numPoint","lat","lon"
"Pin","1","0",56.193707919371,-2.8346231834623
"Target","1","1",56.192973519297,-2.833169683317
"Tee","1","0",56.191487619149,-2.830009783001
"Pin","2","0",56.191830519183,-2.8328951832895
"Target","2","1",56.192331819233,-2.8335611833561
"Tee","2","0",56.193716919372,-2.8352882835288
"Pin","3","0",56.190639819064,-2.8339148833915
"Tee","3","0",56.191878219188,-2.831780083178
"Pin","4","0",56.188382618838,-2.8383617838362
"Target","4","1",56.188989218899,-2.8374473837447
"Tee","4","0",56.190442719044,-2.8343333834333
"Pin","5","0",56.186687018669,-2.8390808839081
"Target","5","1",56.187449318745,-2.8390358839036
"Tee","5","0",56.189669618967,-2.8389998839
"Pin","6","0",56.186024618602,-2.8430507843051
"Target","6","1",56.18620101862,-2.8415324841532
"Tee","6","0",56.186645618665,-2.8385336838534
"Pin","7","0",56.187021818702,-2.8399070839907
"Target","7","1",56.186921918692,-2.8404443840444
"Tee","7","0",56.186394518639,-2.8433990843399
"Pin","8","0",56.189792018979,-2.8404965840497
"Target","8","1",56.188857818886,-2.8398413839841
"Tee","8","0",56.186768018677,-2.8395308839531
"Pin","9","0",56.186645618665,-2.8435061843506
"Target","9","1",56.187744518774,-2.8422155842216
"Tee","9","0",56.18989641899,-2.8409636840964
"Pin","10","0",56.184125618413,-2.8424333842433
"Target","10","1",56.184475718448,-2.8425053842505
"Tee","10","0",56.186353118635,-2.8436024843602
"Pin","11","0",56.184612518461,-2.8438121843812
"Tee","11","0",56.183672018367,-2.8430345843035
"Pin","12","0",56.187711218771,-2.845919984592
"Target","12","1",56.186528618653,-2.8445717844572
"Tee","12","0",56.184248018425,-2.8440002844
"Pin","13","0",56.18919801892,-2.8498520849852
"Target","13","1",56.188811918881,-2.8483022848302
"Tee","13","0",56.187633818763,-2.8450082845008
"Pin","14","0",56.189792018979,-2.8439786843979
"Target","14","1",56.18949681895,-2.8459343845934
"Tee","14","0",56.189364518936,-2.8499915849992
"Pin","15","0",56.187371018737,-2.8444448844445
"Target","15","1",56.188052318805,-2.8442963844296
"Tee","15","0",56.190182619018,-2.8431740843174
"Pin","16","0",56.189919818992,-2.841869984187
"Target","16","1",56.18889921889,-2.8423649842365
"Tee","16","0",56.186818418682,-2.8439570843957
"Pin","17","0",56.190642519064,-2.8348589834859
"Target","17","1",56.190363519036,-2.8371107837111
"Tee","17","0",56.189955818996,-2.8411832841183
"Pin","18","0",56.191308519131,-2.8292312829231
"Target","18","1",56.191167219117,-2.8305272830527
"Tee","18","0",56.190836019084,-2.8344728834473
