"type","hole","numPoint","lat","lon"
"Pin","1","0",53.313976731398,-6.2195307219531
"Tee","1","0",53.314875831488,-6.2203272220327
"Pin","2","0",53.31290213129,-6.2140857214086
"Target","2","1",53.312885031288,-6.216070221607
"Tee","2","0",53.313659931366,-6.2194794219479
"Pin","3","0",53.316136731614,-6.2171538217154
"Target","3","1",53.315015331502,-6.2170719217072
"Tee","3","0",53.31319643132,-6.2151909215191
"Pin","4","0",53.313379131338,-6.2147562214756
"Target","4","1",53.314455531446,-6.2155779215578
"Tee","4","0",53.316538131654,-6.2172240217224
"Pin","5","0",53.315821731582,-6.2147751214775
"Target","5","1",53.315190831519,-6.2137527213753
"Tee","5","0",53.313136131314,-6.213669921367
"Pin","6","0",53.316758631676,-6.2164086216409
"Tee","6","0",53.315890131589,-6.2151720215172
"Pin","7","0",53.313350331335,-6.2140533214053
"Target","7","1",53.314920831492,-6.2148156214816
"Target","7","2",53.313863331386,-6.2142531214253
"Tee","7","0",53.31670463167,-6.2169126216913
"Pin","8","0",53.315132331513,-6.2123982212398
"Tee","8","0",53.313676131368,-6.2131146213115
"Pin","9","0",53.311683531168,-6.2099736209974
"Target","9","1",53.313461031346,-6.2112543211254
"Target","9","2",53.311994931199,-6.2101662210166
"Tee","9","0",53.315417631542,-6.2132865213287
"Pin","10","0",53.315052231505,-6.2110383211038
"Target","10","1",53.313771531377,-6.2104776210478
"Tee","10","0",53.311590831159,-6.2092383209238
"Pin","11","0",53.312968731297,-6.2091987209199
"Target","11","1",53.314012731401,-6.2092608209261
"Tee","11","0",53.315711031571,-6.2106549210655
"Pin","12","0",53.312318931232,-6.2091987209199
"Tee","12","0",53.313506031351,-6.2083644208364
"Pin","13","0",53.313775131378,-6.2124387212439
"Target","13","1",53.313128031313,-6.2116863211686
"Tee","13","0",53.311190331119,-6.211059921106
"Pin","14","0",53.311057131106,-6.2116368211637
"Target","14","1",53.311685331169,-6.2121228212123
"Tee","14","0",53.313945231395,-6.2128626212863
"Pin","15","0",53.313294531329,-6.2132109213211
"Target","15","1",53.312532231253,-6.2132784213278
"Tee","15","0",53.310956331096,-6.2122749212275
"Pin","16","0",53.310754731075,-6.2174328217433
"Target","16","1",53.311730331173,-6.2164185216419
"Tee","16","0",53.312282931228,-6.2137527213753
"Pin","17","0",53.312182131218,-6.2164644216464
"Tee","17","0",53.310985131099,-6.2184390218439
"Pin","18","0",53.313376431338,-6.2190933219093
"Target","18","1",53.312689731269,-6.2180394218039
"Tee","18","0",53.312512431251,-6.2146113214611
