"type","hole","numPoint","lat","lon"
"Pin","1","0",52.390141939014,0.25494662549466
"Target","1","1",52.390592839059,0.2534580253458
"Tee","1","0",52.391579239158,0.25019912501991
"Pin","2","0",52.389130338913,0.2559870255987
"Tee","2","0",52.390429939043,0.2559870255987
"Pin","3","0",52.385963238596,0.25331042533104
"Target","3","1",52.387715538772,0.2547090254709
"Target","3","2",52.386346638635,0.25347692534769
"Tee","3","0",52.389449838945,0.25719122571912
"Pin","4","0",52.389331938933,0.2554110255411
"Target","4","1",52.387753338775,0.25393322539332
"Target","4","2",52.38909883891,0.25523462552346
"Tee","4","0",52.38560143856,0.25259132525913
"Pin","5","0",52.386405138641,0.25213322521332
"Target","5","1",52.387747938775,0.25323932532393
"Tee","5","0",52.389760338976,0.25520672552067
"Pin","6","0",52.388044038804,0.25217012521701
"Tee","6","0",52.386335838634,0.2516130251613
"Pin","7","0",52.389852138985,0.24914522491452
"Target","7","1",52.389656838966,0.24968522496852
"Tee","7","0",52.388413938841,0.25228352522835
"Pin","8","0",52.388324838832,0.25292162529216
"Target","8","1",52.389176238918,0.2521980252198
"Tee","8","0",52.390217539022,0.24906152490615
"Pin","9","0",52.390689139069,0.2497320249732
"Target","9","1",52.390263439026,0.25112792511279
"Tee","9","0",52.388667738867,0.25365692536569
"Pin","10","0",52.389739638974,0.25453082545308
"Target","10","1",52.390231939023,0.25285952528595
"Tee","10","0",52.391115739112,0.24959522495952
"Pin","11","0",52.392868939287,0.25716512571651
"Target","11","1",52.391872639187,0.25682672568267
"Tee","11","0",52.390125739013,0.25532192553219
"Pin","12","0",52.392620539262,0.26042132604213
"Tee","12","0",52.392292939229,0.25833152583315
"Pin","13","0",52.389487638949,0.25688342568834
"Target","13","1",52.390980739098,0.25851512585151
"Target","13","2",52.389911538991,0.25737932573793
"Tee","13","0",52.392263239226,0.2612340261234
"Pin","14","0",52.392376639238,0.25770692577069
"Target","14","1",52.391407339141,0.25770692577069
"Tee","14","0",52.389407538941,0.25646762564676
"Pin","15","0",52.394164039416,0.25787252578725
"Tee","15","0",52.392723139272,0.25790492579049
"Pin","16","0",52.390582939058,0.25524722552472
"Target","16","1",52.392332539233,0.25613192561319
"Target","16","2",52.390916839092,0.25542362554236
"Tee","16","0",52.394584339458,0.25691582569158
"Pin","17","0",52.394263939426,0.25592852559285
"Target","17","1",52.393317139332,0.25585922558592
"Tee","17","0",52.39129573913,0.25471622547162
"Pin","18","0",52.391775439178,0.25225922522592
"Target","18","1",52.392363139236,0.25409162540916
"Tee","18","0",52.394464639446,0.25563332556333
