"type","hole","numPoint","lat","lon"
"Pin","1","0",52.497245549725,-2.2376729237673
"Tee","1","0",52.498186049819,-2.2395881239588
"Pin","2","0",52.495823549582,-2.2325987232599
"Target","2","1",52.495992749599,-2.2340729234073
"Tee","2","0",52.497240149724,-2.2369250236925
"Pin","3","0",52.494946049495,-2.229999523
"Target","3","1",52.495460849546,-2.2302614230261
"Tee","3","0",52.496435549644,-2.2332341233234
"Pin","4","0",52.491059849106,-2.2269818226982
"Target","4","1",52.491990449199,-2.2280042228004
"Tee","4","0",52.494051449405,-2.2296908229691
"Pin","5","0",52.493205449321,-2.2278323227832
"Tee","5","0",52.491615149162,-2.2268369226837
"Pin","6","0",52.490239949024,-2.2256543225654
"Target","6","1",52.491254249125,-2.2260755226076
"Tee","6","0",52.493486249349,-2.2270034227003
"Pin","7","0",52.493778749378,-2.2265471226547
"Target","7","1",52.492193849219,-2.2250558225056
"Target","7","2",52.493247749325,-2.2262330226233
"Tee","7","0",52.489919548992,-2.2244636224464
"Pin","8","0",52.493933549393,-2.2287683228768
"Tee","8","0",52.494229649423,-2.2263140226314
"Pin","9","0",52.493271149327,-2.2251476225148
"Target","9","1",52.494471749447,-2.225690322569
"Tee","9","0",52.494550949455,-2.2288619228862
"Pin","10","0",52.489841248984,-2.2235240223524
"Target","10","1",52.491960749196,-2.2237031223703
"Target","10","2",52.490563949056,-2.2235852223585
"Tee","10","0",52.493827349383,-2.2247525224753
"Pin","11","0",52.490605349061,-2.2269467226947
"Target","11","1",52.489977148998,-2.2264850226485
"Tee","11","0",52.489412848941,-2.2230983223098
"Pin","12","0",52.493488049349,-2.2305494230549
"Target","12","1",52.492367549237,-2.2297673229767
"Tee","12","0",52.490324549032,-2.2280222228022
"Pin","13","0",52.493642849364,-2.2344572234457
"Target","13","1",52.494007349401,-2.2328777232878
"Tee","13","0",52.494890249489,-2.2293848229385
"Pin","14","0",52.495192649519,-2.2320434232043
"Target","14","1",52.494787649479,-2.2328579232858
"Tee","14","0",52.493616749362,-2.2359566235957
"Pin","15","0",52.494029849403,-2.2365011236501
"Target","15","1",52.494488849449,-2.235250123525
"Tee","15","0",52.495675949568,-2.2320092232009
"Pin","16","0",52.49580014958,-2.2348190234819
"Target","16","1",52.495293449529,-2.2355210235521
"Tee","16","0",52.494079349408,-2.2385747238575
"Pin","17","0",52.496566049657,-2.2370132237013
"Tee","17","0",52.495816349582,-2.2353716235372
"Pin","18","0",52.498691849869,-2.2397573239757
"Target","18","1",52.498319249832,-2.2389986238999
"Tee","18","0",52.497087149709,-2.2358837235884
