"type","hole","numPoint","lat","lon"
"Pin","1","0",38.71569627157,-9.3985191398519
"Target","1","1",38.716452271645,-9.3979215397922
"Tee","1","0",38.717991271799,-9.3957984395798
"Pin","2","0",38.715411871541,-9.399310239931
"Tee","2","0",38.716420771642,-9.3983031398303
"Pin","3","0",38.718235171824,-9.401169640117
"Target","3","1",38.717580871758,-9.4009041400904
"Tee","3","0",38.715610771561,-9.4007511400751
"Pin","4","0",38.719028071903,-9.4006008400601
"Tee","4","0",38.718320671832,-9.4021884402188
"Pin","5","0",38.71579707158,-9.4003623400362
"Target","5","1",38.717542171754,-9.4001877400188
"Target","5","2",38.716067071607,-9.4003470400347
"Tee","5","0",38.719844371984,-9.4001418400142
"Pin","6","0",38.717075971708,-9.3981573398157
"Target","6","1",38.716876171688,-9.398459739846
"Tee","6","0",38.71550097155,-9.4000455400046
"Pin","7","0",38.719955071996,-9.3969558396956
"Target","7","1",38.718790471879,-9.396430239643
"Tee","7","0",38.717062471706,-9.3978567397857
"Pin","8","0",38.719034371903,-9.3956949395695
"Tee","8","0",38.720556272056,-9.3967911396791
"Pin","9","0",38.722056572206,-9.3955581395558
"Target","9","1",38.721259172126,-9.3952548395255
"Tee","9","0",38.719641871964,-9.3932289393229
"Pin","10","0",38.724454172445,-9.3978810397881
"Target","10","1",38.723033072303,-9.3965859396586
"Target","10","2",38.724053672405,-9.3978108397811
"Tee","10","0",38.721493172149,-9.3943917394392
"Pin","11","0",38.727074072707,-9.3973608397361
"Target","11","1",38.725929272593,-9.397909839791
"Tee","11","0",38.723770172377,-9.3982914398291
"Pin","12","0",38.725049072505,-9.3937266393727
"Target","12","1",38.725670972567,-9.3937887393789
"Tee","12","0",38.72679957268,-9.3961170396117
"Pin","13","0",38.725113872511,-9.3932568393257
"Tee","13","0",38.723770172377,-9.3929994392999
"Pin","14","0",38.723615372362,-9.3906981390698
"Target","14","1",38.724117572412,-9.3917142391714
"Tee","14","0",38.725915772592,-9.3935574393557
"Pin","15","0",38.721357272136,-9.3910734391073
"Target","15","1",38.721873872187,-9.3906072390607
"Tee","15","0",38.723888972389,-9.3905748390575
"Pin","16","0",38.71919997192,-9.3936078393608
"Tee","16","0",38.719974871997,-9.3917853391785
"Pin","17","0",38.716013071601,-9.3959793395979
"Target","17","1",38.716553971655,-9.3958434395843
"Tee","17","0",38.718133471813,-9.3945105394511
"Pin","18","0",38.717930971793,-9.3952458395246
"Target","18","1",38.717530471753,-9.3959235395924
"Tee","18","0",38.715986071599,-9.3964779396478
