"type","hole","numPoint","lat","lon"
"Pin","1","0",30.319482031948,-97.963025296303
"Target","1","1",30.319070731907,-97.96449679645
"Tee","1","0",30.319428031943,-97.967179696718
"Pin","2","0",30.315538231554,-97.965528196553
"Target","2","1",30.317022331702,-97.964836096484
"Tee","2","0",30.31889793189,-97.963207996321
"Pin","3","0",30.318370531837,-97.962751696275
"Target","3","1",30.316343731634,-97.96419619642
"Target","3","2",30.317935831794,-97.963306096331
"Tee","3","0",30.314251231425,-97.965522796552
"Pin","4","0",30.31980153198,-97.962054196205
"Tee","4","0",30.318566731857,-97.96249969625
"Pin","5","0",30.320040032004,-97.966538896654
"Target","5","1",30.319912231991,-97.964891896489
"Tee","5","0",30.320365832037,-97.962228796223
"Pin","6","0",30.320833832083,-97.962858796286
"Target","6","1",30.320637632064,-97.964163796416
"Tee","6","0",30.320778032078,-97.966825996683
"Pin","7","0",30.324133232413,-97.963365496337
"Target","7","1",30.323559032356,-97.962870496287
"Tee","7","0",30.321771632177,-97.962545596255
"Pin","8","0",30.32429523243,-97.966005196601
"Tee","8","0",30.324769532477,-97.964251096425
"Pin","9","0",30.320752832075,-97.969751896975
"Target","9","1",30.3219966322,-97.967767396777
"Target","9","2",30.320968832097,-97.969374796937
"Tee","9","0",30.324077432408,-97.966624396662
"Pin","10","0",30.314994631499,-97.967608996761
"Target","10","1",30.315942331594,-97.968436096844
"Tee","10","0",30.318186031819,-97.969034596903
"Pin","11","0",30.313308931331,-97.967611696761
"Tee","11","0",30.314445631445,-97.966509196651
"Pin","12","0",30.315520231552,-97.971270197127
"Target","12","1",30.314507731451,-97.96909939691
"Target","12","2",30.315259231526,-97.970463797046
"Tee","12","0",30.312611431261,-97.967584696758
"Pin","13","0",30.31729593173,-97.975291397529
"Target","13","1",30.316373431637,-97.974418397442
"Tee","13","0",30.315485131549,-97.971906497191
"Pin","14","0",30.322936232294,-97.975811597581
"Target","14","1",30.32090133209,-97.975886297589
"Target","14","2",30.32250423225,-97.97589979759
"Tee","14","0",30.318636931864,-97.97540389754
"Pin","15","0",30.318708031871,-97.974805397481
"Target","15","1",30.320222732022,-97.97489989749
"Tee","15","0",30.322605032261,-97.974770297477
"Pin","16","0",30.316286131629,-97.972665197267
"Tee","16","0",30.317142931714,-97.974430097443
"Pin","17","0",30.314264731426,-97.967844796784
"Target","17","1",30.315052231505,-97.968405496841
"Tee","17","0",30.316128631613,-97.970763497076
"Pin","18","0",30.318154531815,-97.968346996835
"Target","18","1",30.31679643168,-97.967829496783
"Tee","18","0",30.314505931451,-97.967061796706
