"type","hole","numPoint","lat","lon"
"Pin","1","0",-33.97009929701,22.407528140753
"Target","1","1",-33.969127296913,22.407186140719
"Tee","1","0",-33.96810399681,22.40469854047
"Pin","2","0",-33.968693496869,22.409714240971
"Tee","2","0",-33.970108297011,22.40809694081
"Pin","3","0",-33.965928696593,22.415317641532
"Target","3","1",-33.966878196688,22.414049541405
"Tee","3","0",-33.968373096837,22.411808541181
"Pin","4","0",-33.963345696335,22.418437041844
"Target","4","1",-33.964865796487,22.417519941752
"Tee","4","0",-33.966744996674,22.415832441583
"Pin","5","0",-33.964453596445,22.423444642344
"Target","5","1",-33.963644496364,22.420960642096
"Target","5","2",-33.964074696407,22.422511342251
"Tee","5","0",-33.962852496285,22.418353341835
"Pin","6","0",-33.965050296505,22.426753942675
"Target","6","1",-33.964734396473,22.42570364257
"Tee","6","0",-33.964019796402,22.423645342365
"Pin","7","0",-33.965608296561,22.423023442302
"Target","7","1",-33.96579999658,22.424846842485
"Tee","7","0",-33.965392296539,22.427680042768
"Pin","8","0",-33.964854096485,22.421341342134
"Tee","8","0",-33.966046596605,22.422744442274
"Pin","9","0",-33.967249896725,22.416153741615
"Target","9","1",-33.965286096529,22.418565741857
"Target","9","2",-33.966646896665,22.417053741705
"Tee","9","0",-33.964549896455,22.421038042104
"Pin","10","0",-33.966132996613,22.420021942002
"Target","10","1",-33.966791796679,22.41910304191
"Tee","10","0",-33.967770996777,22.416535341654
"Pin","11","0",-33.967056396706,22.421094742109
"Tee","11","0",-33.965745996575,22.42090124209
"Pin","12","0",-33.969736596974,22.425286942529
"Target","12","1",-33.969207396921,22.423521142352
"Tee","12","0",-33.968166996817,22.420933642093
"Pin","13","0",-33.966122196612,22.428371242837
"Target","13","1",-33.9680031968,22.427260642726
"Target","13","2",-33.966392196639,22.428254242825
"Tee","13","0",-33.969993096999,22.425863842586
"Pin","14","0",-33.968139996814,22.425756742576
"Target","14","1",-33.96750189675,22.426315642632
"Tee","14","0",-33.965739696574,22.427861842786
"Pin","15","0",-33.967750296775,22.421585242159
"Target","15","1",-33.967382196738,22.423338442334
"Tee","15","0",-33.968945496895,22.425509242551
"Pin","16","0",-33.968575596858,22.415140341514
"Target","16","1",-33.968442396844,22.417994241799
"Target","16","2",-33.968506296851,22.415764041576
"Tee","16","0",-33.967824096782,22.420668142067
"Pin","17","0",-33.96860439686,22.412608641261
"Tee","17","0",-33.968351496835,22.414405041441
"Pin","18","0",-33.967425396743,22.40540414054
"Target","18","1",-33.967931196793,22.40849834085
"Target","18","2",-33.967535196754,22.406167340617
"Tee","18","0",-33.968651196865,22.411291041129
