"type","hole","numPoint","lat","lon"
"Pin","1","0",51.980089298009,1.3853260385326
"Target","1","1",51.979077697908,1.3842487384249
"Tee","1","0",51.977151697715,1.3821985382199
"Pin","2","0",51.98390079839,1.3871872387187
"Target","2","1",51.981856898186,1.3860352386035
"Target","2","2",51.983221298322,1.3867777386778
"Tee","2","0",51.979585297959,1.3854250385425
"Pin","3","0",51.986089598609,1.3878442387844
"Target","3","1",51.985527998553,1.3879954387995
"Tee","3","0",51.983762198376,1.3867237386724
"Pin","4","0",51.988565498857,1.3863187386319
"Target","4","1",51.987909398791,1.3871764387176
"Tee","4","0",51.986059898606,1.3871611387161
"Pin","5","0",51.989188298919,1.3853179385318
"Tee","5","0",51.988722098872,1.3869109386911
"Pin","6","0",51.985150898515,1.3862269386227
"Target","6","1",51.986544998654,1.3867714386771
"Tee","6","0",51.988759898876,1.385749938575
"Pin","7","0",51.988948898895,1.3848220384822
"Target","7","1",51.987330698733,1.3857679385768
"Target","7","2",51.988669898867,1.3849120384912
"Tee","7","0",51.985032098503,1.3855537385554
"Pin","8","0",51.984838598484,1.3846528384653
"Target","8","1",51.986957198696,1.3847392384739
"Target","8","2",51.985191398519,1.3845916384592
"Tee","8","0",51.989227898923,1.3841164384116
"Pin","9","0",51.984886298489,1.3863529386353
"Tee","9","0",51.984454298445,1.3844512384451
"Pin","10","0",51.981077498108,1.3839823383982
"Target","10","1",51.98270199827,1.384849938485
"Target","10","2",51.981355598136,1.3840255384026
"Tee","10","0",51.984735098473,1.3866058386606
"Pin","11","0",51.978647497865,1.382770038277
"Target","11","1",51.979144297914,1.3834216383422
"Tee","11","0",51.981360098136,1.3836466383647
"Pin","12","0",51.97739649774,1.3817215381722
"Tee","12","0",51.978410797841,1.3827052382705
"Pin","13","0",51.979150597915,1.3856482385648
"Target","13","1",51.978626797863,1.3852243385224
"Tee","13","0",51.976856497686,1.3831615383162
"Pin","14","0",51.982293398229,1.3876516387652
"Target","14","1",51.981440198144,1.3877416387742
"Tee","14","0",51.979345897935,1.3870423387042
"Pin","15","0",51.983974598397,1.3884184388418
"Target","15","1",51.983168198317,1.388369838837
"Tee","15","0",51.980865998087,1.3884589388459
"Pin","16","0",51.982584098258,1.3874932387493
"Tee","16","0",51.984245498425,1.3878343387834
"Pin","17","0",51.979038997904,1.3861576386158
"Target","17","1",51.980351198035,1.3865140386514
"Tee","17","0",51.982623698262,1.3871152387115
"Pin","18","0",51.976888897689,1.3824937382494
"Target","18","1",51.977364997736,1.3831012383101
"Tee","18","0",51.979039897904,1.3850362385036
