"type","hole","numPoint","lat","lon"
"Pin","1","0",53.48169984817,12.522380752238
"Target","1","1",53.480917748092,12.520937152094
"Tee","1","0",53.479985347999,12.518013951801
"Pin","2","0",53.484110048411,12.524880952488
"Target","2","1",53.482868048287,12.524665852467
"Tee","2","0",53.480806148081,12.522944152294
"Pin","3","0",53.485373648537,12.522117952212
"Tee","3","0",53.484432248443,12.524156452416
"Pin","4","0",53.484920948492,12.515036751504
"Target","4","1",53.4859973486,12.518108451811
"Target","4","2",53.484968648497,12.515951151595
"Tee","4","0",53.485833548583,12.521967652197
"Pin","5","0",53.486855048686,12.50929745093
"Target","5","1",53.486025248603,12.510523251052
"Tee","5","0",53.485217948522,12.514146651415
"Pin","6","0",53.489249048925,12.503524850352
"Target","6","1",53.488423748842,12.505225850523
"Tee","6","0",53.486669648667,12.507280550728
"Pin","7","0",53.485788548579,12.50620145062
"Target","7","1",53.487521048752,12.504916250492
"Target","7","2",53.486281748628,12.506514650651
"Tee","7","0",53.48909604891,12.502092950209
"Pin","8","0",53.486140448614,12.504050450405
"Tee","8","0",53.485083848508,12.505762250576
"Pin","9","0",53.488281548828,12.501792350179
"Target","9","1",53.487418448742,12.502988450299
"Tee","9","0",53.485166648517,12.502183850218
"Pin","10","0",53.484291848429,12.502414250241
"Target","10","1",53.48589564859,12.500573750057
"Target","10","2",53.484578948458,12.501550250155
"Tee","10","0",53.488188848819,12.500917550092
"Pin","11","0",53.483435948344,12.507419150742
"Target","11","1",53.484085748409,12.505970150597
"Tee","11","0",53.483577248358,12.502408850241
"Pin","12","0",53.486210648621,12.507655850766
"Target","12","1",53.484820148482,12.507672950767
"Tee","12","0",53.482682648268,12.508915850892
"Pin","13","0",53.484623948462,12.51269855127
"Target","13","1",53.484827348483,12.511170351117
"Tee","13","0",53.486386148639,12.508610750861
"Pin","14","0",53.4830021483,12.509957150996
"Tee","14","0",53.483978648398,12.511947051195
"Pin","15","0",53.484518648452,12.516850251685
"Target","15","1",53.483732048373,12.513371751337
"Target","15","2",53.484369248437,12.516142851614
"Tee","15","0",53.482092248209,12.510654651065
"Pin","16","0",53.484336848434,12.522638152264
"Target","16","1",53.484729248473,12.521379952138
"Tee","16","0",53.483794148379,12.518459451846
"Pin","17","0",53.482408148241,12.522746152275
"Tee","17","0",53.483943548394,12.523571452357
"Pin","18","0",53.48060184806,12.517665651767
"Target","18","1",53.48149554815,12.519513351951
"Tee","18","0",53.483231648323,12.522054052205
