"type","hole","numPoint","lat","lon"
"Pin","1","0",41.53890025389,-87.673991167399
"Target","1","1",41.536892353689,-87.673446667345
"Target","1","2",41.538272953827,-87.673991167399
"Tee","1","0",41.535107653511,-87.671976967198
"Pin","2","0",41.537420653742,-87.672786967279
"Tee","2","0",41.539124353912,-87.673274767327
"Pin","3","0",41.541441854144,-87.671175067118
"Target","3","1",41.539938853994,-87.671531467153
"Tee","3","0",41.53790215379,-87.671906767191
"Pin","4","0",41.542252754225,-87.667660566766
"Target","4","1",41.541921554192,-87.668304966831
"Tee","4","0",41.541692054169,-87.671145367115
"Pin","5","0",41.538389953839,-87.667658766766
"Target","5","1",41.539767853977,-87.668011566801
"Tee","5","0",41.541991754199,-87.667462566746
"Pin","6","0",41.53539655354,-87.6679989668
"Target","6","1",41.536645753665,-87.667612866761
"Tee","6","0",41.538889453889,-87.66830226683
"Pin","7","0",41.535065353507,-87.66870456687
"Tee","7","0",41.533848553385,-87.667744266774
"Pin","8","0",41.539451953945,-87.669552366955
"Target","8","1",41.538034453803,-87.669951966995
"Tee","8","0",41.536024753602,-87.668449866845
"Pin","9","0",41.534966353497,-87.670579267058
"Target","9","1",41.537747353775,-87.670847467085
"Target","9","2",41.535774553577,-87.670745767075
"Tee","9","0",41.540130554013,-87.670743067074
"Pin","10","0",41.530806553081,-87.670034767003
"Target","10","1",41.532984553298,-87.670393867039
"Target","10","2",41.531153953115,-87.670035667004
"Tee","10","0",41.535235453524,-87.671265967127
"Pin","11","0",41.53190275319,-87.670874467087
"Tee","11","0",41.530351153035,-87.670466767047
"Pin","12","0",41.528232552823,-87.67090146709
"Target","12","1",41.529317952932,-87.671051767105
"Tee","12","0",41.531609353161,-87.671343367134
"Pin","13","0",41.528983152898,-87.671912167191
"Tee","13","0",41.528156052816,-87.67289946729
"Pin","14","0",41.528240652824,-87.674073967407
"Target","14","1",41.528722152872,-87.673324267332
"Tee","14","0",41.530661653066,-87.671772667177
"Pin","15","0",41.531713753171,-87.672448567245
"Target","15","1",41.53049875305,-87.672743767274
"Tee","15","0",41.528505252851,-87.674283667428
"Pin","16","0",41.534338153434,-87.672164167216
"Target","16","1",41.533117753312,-87.672066967207
"Tee","16","0",41.530860553086,-87.671885167189
"Pin","17","0",41.530720153072,-87.673792267379
"Target","17","1",41.532236653224,-87.673175767318
"Tee","17","0",41.53450105345,-87.672615067262
"Pin","18","0",41.534655853466,-87.673030867303
"Target","18","1",41.532728053273,-87.674081167408
"Target","18","2",41.534076253408,-87.673263067326
"Tee","18","0",41.530384453038,-87.674127967413
