"type","hole","numPoint","lat","lon"
"Pin","1","0",40.345158134516,-74.47370064737
"Target","1","1",40.34460103446,-74.471459647146
"Target","1","2",40.344862934486,-74.473041847304
"Tee","1","0",40.343847734385,-74.468548146855
"Pin","2","0",40.346613434661,-74.473837447384
"Tee","2","0",40.345341734534,-74.474877847488
"Pin","3","0",40.349039834904,-74.470151947015
"Target","3","1",40.347138134714,-74.472439747244
"Target","3","2",40.348593434859,-74.470690147069
"Tee","3","0",40.345233734523,-74.474322547432
"Pin","4","0",40.352958435296,-74.469971946997
"Target","4","1",40.352078235208,-74.470250047025
"Tee","4","0",40.349984834998,-74.47009794701
"Pin","5","0",40.354074435407,-74.468513046851
"Tee","5","0",40.353291435329,-74.469921546992
"Pin","6","0",40.35450013545,-74.466034446603
"Target","6","1",40.354606335461,-74.466873246687
"Tee","6","0",40.354818735482,-74.469339246934
"Pin","7","0",40.351652535165,-74.468175546818
"Target","7","1",40.352593035259,-74.467793046779
"Tee","7","0",40.353817035382,-74.466045246605
"Pin","8","0",40.348187534819,-74.465455746546
"Target","8","1",40.348624034862,-74.466784146678
"Tee","8","0",40.349959634996,-74.469245646925
"Pin","9","0",40.345519934552,-74.464843746484
"Target","9","1",40.346436134644,-74.46469614647
"Tee","9","0",40.348365734837,-74.464849146485
"Pin","10","0",40.348040834804,-74.466876846688
"Target","10","1",40.347558434756,-74.46569694657
"Tee","10","0",40.345511834551,-74.465444946544
"Pin","11","0",40.349843534984,-74.469733446973
"Target","11","1",40.349123534912,-74.4689981469
"Tee","11","0",40.347518834752,-74.466983946698
"Pin","12","0",40.351417635142,-74.471168947117
"Tee","12","0",40.350252135025,-74.47050024705
"Pin","13","0",40.355362335536,-74.469980046998
"Target","13","1",40.353646035365,-74.47030494703
"Target","13","2",40.354845735485,-74.469926946993
"Tee","13","0",40.351729935173,-74.471777347178
"Pin","14","0",40.354663035466,-74.464671846467
"Target","14","1",40.355311935531,-74.467070346707
"Target","14","2",40.354926735493,-74.465646546565
"Tee","14","0",40.355877135588,-74.470055647006
"Pin","15","0",40.351660635166,-74.465149746515
"Target","15","1",40.352883735288,-74.464479246448
"Tee","15","0",40.353490335349,-74.462014146201
"Pin","16","0",40.351464435146,-74.466428646643
"Tee","16","0",40.350677835068,-74.464787946479
"Pin","17","0",40.349919134992,-74.463357846336
"Target","17","1",40.350157635016,-74.46450354645
"Tee","17","0",40.351094535109,-74.467145046714
"Pin","18","0",40.345431734543,-74.464192146419
"Target","18","1",40.346516234652,-74.463839346384
"Tee","18","0",40.348590734859,-74.46279984628
