"type","hole","numPoint","lat","lon"
"Pin","1","0",42.515567751557,-83.320832932083
"Target","1","1",42.516893451689,-83.321370232137
"Tee","1","0",42.519118251912,-83.322176632218
"Pin","2","0",42.516156351616,-83.324893732489
"Target","2","1",42.516160851616,-83.323555432356
"Tee","2","0",42.515229351523,-83.32069883207
"Pin","3","0",42.515429151543,-83.323638232364
"Tee","3","0",42.516069951607,-83.325451732545
"Pin","4","0",42.515035851504,-83.329206532921
"Target","4","1",42.5149989515,-83.326382332638
"Target","4","2",42.514986351499,-83.328669232867
"Tee","4","0",42.515080851508,-83.323260232326
"Pin","5","0",42.515865651587,-83.325473332547
"Target","5","1",42.515808051581,-83.326549732655
"Tee","5","0",42.515330151533,-83.329490932949
"Pin","6","0",42.517050051705,-83.329958032996
"Target","6","1",42.516528951653,-83.328322732832
"Tee","6","0",42.516257151626,-83.325277132528
"Pin","7","0",42.520962352096,-83.328825832883
"Target","7","1",42.519770751977,-83.328781732878
"Tee","7","0",42.517492851749,-83.329236232924
"Pin","8","0",42.521547352155,-83.323405132341
"Target","8","1",42.521467252147,-83.326215832622
"Target","8","2",42.521490652149,-83.324263732426
"Tee","8","0",42.521715652172,-83.329321732932
"Pin","9","0",42.520344052034,-83.323643632364
"Tee","9","0",42.521692252169,-83.322879532288
"Pin","10","0",42.52119545212,-83.328259732826
"Target","10","1",42.520929052093,-83.32669913267
"Tee","10","0",42.520066852007,-83.32380203238
"Pin","11","0",42.51790235179,-83.329858132986
"Target","11","1",42.519621351962,-83.32960343296
"Target","11","2",42.518229951823,-83.329793332979
"Tee","11","0",42.521757052176,-83.329469332947
"Pin","12","0",42.516630651663,-83.325260932526
"Target","12","1",42.516915051692,-83.32660283266
"Tee","12","0",42.517388451739,-83.329660132966
"Pin","13","0",42.516681951668,-83.322241432224
"Target","13","1",42.516756651676,-83.323155832316
"Tee","13","0",42.517040151704,-83.325805432581
"Pin","14","0",42.518487351849,-83.32270223227
"Tee","14","0",42.516787251679,-83.3220020322
"Pin","15","0",42.517767351777,-83.327945632795
"Target","15","1",42.517553151755,-83.325476932548
"Target","15","2",42.517806051781,-83.327511832751
"Tee","15","0",42.518229951823,-83.323080232308
"Pin","16","0",42.518283951828,-83.325350032535
"Tee","16","0",42.51819845182,-83.328007732801
"Pin","17","0",42.520037152004,-83.328010432801
"Target","17","1",42.518778951878,-83.327228332723
"Tee","17","0",42.518614251861,-83.324448232445
"Pin","18","0",42.519060651906,-83.324129632413
"Target","18","1",42.519766251977,-83.325378832538
"Tee","18","0",42.520444852044,-83.328364132836
