"type","hole","numPoint","lat","lon"
"Pin","1","0",51.679126567913,-1.3685968368597
"Target","1","1",51.679066267907,-1.3670614367061
"Tee","1","0",51.678083467808,-1.3639249363925
"Pin","2","0",51.681435068144,-1.3766842376684
"Target","2","1",51.680570168057,-1.3732435373244
"Target","2","2",51.681162368116,-1.3760002376
"Tee","2","0",51.67930476793,-1.370629937063
"Pin","3","0",51.681584468158,-1.3723975372398
"Target","3","1",51.681644768164,-1.3741417374142
"Tee","3","0",51.682010168201,-1.3778074377807
"Pin","4","0",51.680346068035,-1.3715587371559
"Tee","4","0",51.681932768193,-1.3716091371609
"Pin","5","0",51.683623868362,-1.3698712369871
"Target","5","1",51.682456568246,-1.3700962370096
"Tee","5","0",51.680157968016,-1.3703086370309
"Pin","6","0",51.679457767946,-1.3694716369472
"Target","6","1",51.681393668139,-1.3685284368528
"Target","6","2",51.679868167987,-1.3690774369077
"Tee","6","0",51.68340066834,-1.3692439369244
"Pin","7","0",51.682776968278,-1.3678975367898
"Target","7","1",51.681421568142,-1.3676212367621
"Tee","7","0",51.679509067951,-1.3688389368839
"Pin","8","0",51.679532467953,-1.3661857366186
"Target","8","1",51.681029168103,-1.3668076366808
"Tee","8","0",51.683320568332,-1.3671622367162
"Pin","9","0",51.678524467852,-1.3637530363753
"Tee","9","0",51.679312867931,-1.3658266365827
"Pin","10","0",51.682625768263,-1.3663549366355
"Target","10","1",51.680240768024,-1.3657114365711
"Target","10","2",51.68210376821,-1.3662352366235
"Tee","10","0",51.678661267866,-1.3634875363488
"Pin","11","0",51.683680568368,-1.3691044369104
"Tee","11","0",51.683469068347,-1.3667680366768
"Pin","12","0",51.684330368433,-1.3642255364226
"Target","12","1",51.684177368418,-1.3667554366755
"Tee","12","0",51.684145868415,-1.370469737047
"Pin","13","0",51.685818968582,-1.3598128359813
"Target","13","1",51.684956768496,-1.3601962360196
"Tee","13","0",51.683987468399,-1.362970036297
"Pin","14","0",51.685493168549,-1.3562992356299
"Target","14","1",51.685526468553,-1.3569085356909
"Tee","14","0",51.686094368609,-1.3605076360508
"Pin","15","0",51.68359686836,-1.3608082360808
"Target","15","1",51.684012668401,-1.3590955359096
"Tee","15","0",51.685340168534,-1.3560607356061
"Pin","16","0",51.683561768356,-1.3654243365424
"Target","16","1",51.683383568338,-1.3643668364367
"Tee","16","0",51.683675168368,-1.3612186361219
"Pin","17","0",51.680412668041,-1.3648042364804
"Target","17","1",51.681417968142,-1.3652362365236
"Tee","17","0",51.683676968368,-1.3659580365958
"Pin","18","0",51.678855667886,-1.3629106362911
"Target","18","1",51.679050067905,-1.3632184363218
"Tee","18","0",51.681062468106,-1.3647322364732
