"type","hole","numPoint","lat","lon"
"Pin","1","0",47.539605853961,-92.295326929533
"Target","1","1",47.540252054025,-92.293567429357
"Tee","1","0",47.541189854119,-92.290653229065
"Pin","2","0",47.540152154015,-92.303625830363
"Target","2","1",47.539660753966,-92.300339930034
"Target","2","2",47.539718353972,-92.303139830314
"Tee","2","0",47.539183753918,-92.297064829706
"Pin","3","0",47.54039515404,-92.29890262989
"Target","3","1",47.540552654055,-92.300723330072
"Tee","3","0",47.540817254082,-92.304111830411
"Pin","4","0",47.54129875413,-92.301805130181
"Tee","4","0",47.541134054113,-92.298629029863
"Pin","5","0",47.543888054389,-92.296856029686
"Target","5","1",47.542349954235,-92.298731629873
"Target","5","2",47.543321054332,-92.297328529733
"Tee","5","0",47.541732554173,-92.302017530202
"Pin","6","0",47.541041354104,-92.297821729782
"Target","6","1",47.541773054177,-92.297178229718
"Tee","6","0",47.543838554384,-92.296150429615
"Pin","7","0",47.539645453965,-92.296716529672
"Tee","7","0",47.540767754077,-92.298290629829
"Pin","8","0",47.543469554347,-92.295558229556
"Target","8","1",47.541828854183,-92.295609529561
"Tee","8","0",47.539553653955,-92.296131529613
"Pin","9","0",47.541073754107,-92.294012929401
"Target","9","1",47.541956654196,-92.294320729432
"Tee","9","0",47.544146354415,-92.294858029486
"Pin","10","0",47.54389525439,-92.293755529376
"Target","10","1",47.543238254324,-92.292839329284
"Tee","10","0",47.541143054114,-92.292964429296
"Pin","11","0",47.544460454446,-92.29579672958
"Tee","11","0",47.544566654457,-92.293916629392
"Pin","12","0",47.546306354631,-92.292888829289
"Target","12","1",47.545557554556,-92.294925529493
"Tee","12","0",47.544455954446,-92.297920729792
"Pin","13","0",47.548209854821,-92.290689229069
"Target","13","1",47.547667154767,-92.29139752914
"Tee","13","0",47.546640254664,-92.293822129382
"Pin","14","0",47.544932954493,-92.293643029364
"Target","14","1",47.546226254623,-92.291555929156
"Target","14","2",47.545148054515,-92.292968029297
"Tee","14","0",47.548127954813,-92.289632628963
"Pin","15","0",47.546948054695,-92.289372528937
"Target","15","1",47.545421654542,-92.290455229046
"Tee","15","0",47.544337154434,-92.293041829304
"Pin","16","0",47.541794654179,-92.290043029004
"Target","16","1",47.544022154402,-92.289571428957
"Target","16","2",47.54230315423,-92.289825228982
"Tee","16","0",47.546272154627,-92.288849628885
"Pin","17","0",47.538636553864,-92.294021029402
"Tee","17","0",47.539426753943,-92.291593729159
"Pin","18","0",47.539774153977,-92.290233829023
"Target","18","1",47.538363853836,-92.291416429142
"Tee","18","0",47.538093853809,-92.294680729468
