"type","hole","numPoint","lat","lon"
"Pin","1","0",-34.964206996421,138.52779965278
"Target","1","1",-34.963345696335,138.52734335273
"Tee","1","0",-34.961687896169,138.52772135277
"Pin","2","0",-34.96460299646,138.52375775238
"Target","2","1",-34.964093596409,138.52557755256
"Tee","2","0",-34.964528296453,138.52808135281
"Pin","3","0",-34.963624696362,138.52533455253
"Tee","3","0",-34.964447296445,138.52336625234
"Pin","4","0",-34.964671396467,138.52239245224
"Target","4","1",-34.964073796407,138.52305845231
"Tee","4","0",-34.963251196325,138.52530215253
"Pin","5","0",-34.961011096101,138.52410065241
"Target","5","1",-34.963038796304,138.52357685236
"Target","5","2",-34.961436796144,138.52365965237
"Tee","5","0",-34.964881096488,138.52189025219
"Pin","6","0",-34.963756996376,138.52677455268
"Target","6","1",-34.962911896291,138.52521125252
"Tee","6","0",-34.960738396074,138.52428335243
"Pin","7","0",-34.960826596083,138.52477925248
"Target","7","1",-34.962163096216,138.52524905252
"Tee","7","0",-34.963631896363,138.52714535271
"Pin","8","0",-34.958824095882,138.52779965278
"Target","8","1",-34.959589095959,138.52658645266
"Tee","8","0",-34.961687896169,138.52543085254
"Pin","9","0",-34.961230696123,138.5259645526
"Target","9","1",-34.960384696038,138.52676015268
"Tee","9","0",-34.958626095863,138.52841345284
"Pin","10","0",-34.959514395951,138.52884005288
"Target","10","1",-34.960283896028,138.52793015279
"Tee","10","0",-34.961675296168,138.52569095257
"Pin","11","0",-34.960547596055,138.52832525283
"Tee","11","0",-34.959494595949,138.52959965296
"Pin","12","0",-34.958636895864,138.53167505317
"Target","12","1",-34.960254196025,138.53047805305
"Target","12","2",-34.959088695909,138.53141945314
"Tee","12","0",-34.960867996087,138.52787435279
"Pin","13","0",-34.9610047961,138.529958753
"Target","13","1",-34.96060159606,138.53118095312
"Tee","13","0",-34.958527995853,138.53228255323
"Pin","14","0",-34.961207296121,138.53212595321
"Tee","14","0",-34.961128096113,138.53037185304
"Pin","15","0",-34.958580195858,138.53292785329
"Target","15","1",-34.959418095942,138.53231495323
"Tee","15","0",-34.961716696172,138.53247425325
"Pin","16","0",-34.959263295926,138.53309705331
"Tee","16","0",-34.958313795831,138.53413205341
"Pin","17","0",-34.961556496156,138.53294945329
"Target","17","1",-34.960414396041,138.53286035329
"Tee","17","0",-34.958475795848,138.53437595344
"Pin","18","0",-34.962117196212,138.52819115282
"Target","18","1",-34.961511496151,138.53073275307
"Target","18","2",-34.961776096178,138.52885355289
"Tee","18","0",-34.961838196184,138.53326085333
