"type","hole","numPoint","lat","lon"
"Pin","1","0",42.056428205643,-87.781947078195
"Target","1","1",42.057767405777,-87.781415178142
"Tee","1","0",42.060037206004,-87.780890478089
"Pin","2","0",42.056424605642,-87.780354078035
"Tee","2","0",42.055992605599,-87.782327778233
"Pin","3","0",42.057175205718,-87.776824277682
"Target","3","1",42.056618105662,-87.778411877841
"Tee","3","0",42.055534505553,-87.781147878115
"Pin","4","0",42.059714105971,-87.776848577685
"Target","4","1",42.058737605874,-87.776634377663
"Tee","4","0",42.056478605648,-87.776035877604
"Pin","5","0",42.062111706211,-87.777937577794
"Target","5","1",42.061367406137,-87.777482177748
"Tee","5","0",42.059326205933,-87.776046677605
"Pin","6","0",42.062388906239,-87.784562478456
"Target","6","1",42.062146806215,-87.78160327816
"Target","6","2",42.062229606223,-87.784092678409
"Tee","6","0",42.062223306222,-87.77850367785
"Pin","7","0",42.061062306106,-87.784929678493
"Tee","7","0",42.062460906246,-87.784876578488
"Pin","8","0",42.061839006184,-87.779511677951
"Target","8","1",42.061371906137,-87.782060478206
"Target","8","2",42.061679706168,-87.780166878017
"Tee","8","0",42.060746406075,-87.785044878504
"Pin","9","0",42.060756306076,-87.782869578287
"Target","9","1",42.06079860608,-87.782024478202
"Tee","9","0",42.061590606159,-87.779171477917
"Pin","10","0",42.06089580609,-87.786510078651
"Target","10","1",42.060329706033,-87.784793778479
"Tee","10","0",42.060060606006,-87.781936278194
"Pin","11","0",42.062072106207,-87.785836878584
"Tee","11","0",42.061244106124,-87.787539678754
"Pin","12","0",42.06229530623,-87.788631378863
"Target","12","1",42.062145906215,-87.787689978769
"Tee","12","0",42.062440206244,-87.785117778512
"Pin","13","0",42.059411705941,-87.78509887851
"Target","13","1",42.060714006071,-87.787429878743
"Target","13","2",42.059774405977,-87.785748678575
"Tee","13","0",42.062454606245,-87.789460278946
"Pin","14","0",42.059493605949,-87.786646878665
"Tee","14","0",42.059129105913,-87.784868478487
"Pin","15","0",42.055809005581,-87.785005278501
"Target","15","1",42.057637805764,-87.786042078604
"Target","15","2",42.056208605621,-87.785520978552
"Tee","15","0",42.059825705983,-87.787005978701
"Pin","16","0",42.058551305855,-87.7850025785
"Target","16","1",42.057648605765,-87.784980078498
"Tee","16","0",42.055452605545,-87.784047678405
"Pin","17","0",42.056836805684,-87.784215978422
"Target","17","1",42.057736805774,-87.783919878392
"Tee","17","0",42.059853605985,-87.784822578482
"Pin","18","0",42.059776205978,-87.781765278177
"Target","18","1",42.059291105929,-87.782132478213
"Tee","18","0",42.057330905733,-87.783650778365
