"type","hole","numPoint","lat","lon"
"Pin","1","0",47.516840351684,-122.74648887465
"Target","1","1",47.518748351875,-122.74616487462
"Target","1","2",47.517227351723,-122.74612167461
"Tee","1","0",47.51970325197,-122.74851117485
"Pin","2","0",47.513771351377,-122.74751937475
"Target","2","1",47.514468851447,-122.74793787479
"Tee","2","0",47.516717051672,-122.74758057476
"Pin","3","0",47.512533851253,-122.74693167469
"Tee","3","0",47.513468951347,-122.74870467487
"Pin","4","0",47.50980415098,-122.74790817479
"Target","4","1",47.51059705106,-122.74775157478
"Tee","4","0",47.512789451279,-122.74826727483
"Pin","5","0",47.512708451271,-122.74914207491
"Target","5","1",47.511437651144,-122.74883067488
"Tee","5","0",47.509094050909,-122.74880367488
"Pin","6","0",47.516570351657,-122.74843107484
"Target","6","1",47.515280651528,-122.7489575749
"Tee","6","0",47.513021651302,-122.74961637496
"Pin","7","0",47.518148051815,-122.74726107473
"Tee","7","0",47.516961851696,-122.74820067482
"Pin","8","0",47.51559925156,-122.75008077501
"Target","8","1",47.516637851664,-122.74926177493
"Tee","8","0",47.518588151859,-122.74769037477
"Pin","9","0",47.518816751882,-122.74852197485
"Target","9","1",47.517782651778,-122.74956507496
"Tee","9","0",47.515638851564,-122.75080977508
"Pin","10","0",47.518028351803,-122.75459697546
"Target","10","1",47.518350551835,-122.75288967529
"Tee","10","0",47.519836451984,-122.75036517504
"Pin","11","0",47.516258951626,-122.75134347513
"Target","11","1",47.517239951724,-122.75215437522
"Tee","11","0",47.517584651758,-122.75521707552
"Pin","12","0",47.512991051299,-122.75035977504
"Target","12","1",47.51390005139,-122.75038947504
"Tee","12","0",47.515783751578,-122.7510275751
"Pin","13","0",47.509709650971,-122.74949577495
"Target","13","1",47.510568251057,-122.74973967497
"Tee","13","0",47.512829051283,-122.74971537497
"Pin","14","0",47.510925551093,-122.75091237509
"Tee","14","0",47.509094050909,-122.75022297502
"Pin","15","0",47.515952951595,-122.7520436752
"Target","15","1",47.513322251332,-122.75158467516
"Target","15","2",47.51529505153,-122.75167107517
"Tee","15","0",47.510938151094,-122.75164947516
"Pin","16","0",47.516829551683,-122.7570458757
"Target","16","1",47.516879051688,-122.75577597558
"Tee","16","0",47.516762051676,-122.75255307526
"Pin","17","0",47.518432451843,-122.75685327569
"Tee","17","0",47.517189551719,-122.75768217577
"Pin","18","0",47.520162252016,-122.75116977512
"Target","18","1",47.519219051922,-122.75368347537
"Target","18","2",47.520000252,-122.75154057515
"Tee","18","0",47.518807751881,-122.75709987571
