"type","hole","numPoint","lat","lon"
"Pin","1","0",47.619082161908,-116.76138927614
"Target","1","1",47.617715961772,-116.76119667612
"Tee","1","0",47.615744961574,-116.75943087594
"Pin","2","0",47.623934962393,-116.76353757635
"Target","2","1",47.622190762219,-116.76145767615
"Target","2","2",47.623555162356,-116.76258627626
"Tee","2","0",47.619939861994,-116.76074037607
"Pin","3","0",47.625336262534,-116.76386517639
"Tee","3","0",47.624193262419,-116.76549057655
"Pin","4","0",47.625162562516,-116.75980347598
"Target","4","1",47.625507262551,-116.76050817605
"Tee","4","0",47.625779062578,-116.76291567629
"Pin","5","0",47.620839862084,-116.75987097599
"Target","5","1",47.622386962239,-116.76009687601
"Tee","5","0",47.624688262469,-116.760026676
"Pin","6","0",47.622784762278,-116.76313797631
"Target","6","1",47.621538262154,-116.76330267633
"Tee","6","0",47.619925461993,-116.76086637609
"Pin","7","0",47.621447362145,-116.76521157652
"Tee","7","0",47.622877462288,-116.76390747639
"Pin","8","0",47.616008661601,-116.76491367649
"Target","8","1",47.61840356184,-116.76522147652
"Target","8","2",47.616430761643,-116.76512877651
"Tee","8","0",47.620626562063,-116.76460767646
"Pin","9","0",47.615454261545,-116.76031377603
"Target","9","1",47.616445161644,-116.76166917617
"Tee","9","0",47.61560366156,-116.76484887648
"Pin","10","0",47.617626861763,-116.75231277523
"Target","10","1",47.617176861718,-116.75526927553
"Target","10","2",47.617355961736,-116.75290587529
"Tee","10","0",47.617336161734,-116.75867757587
"Pin","11","0",47.613611061361,-116.74936707494
"Target","11","1",47.614993461499,-116.75039037504
"Tee","11","0",47.617257861726,-116.7510032751
"Pin","12","0",47.61069686107,-116.75051817505
"Target","12","1",47.611440261144,-116.75079807508
"Tee","12","0",47.613225861323,-116.74941567494
"Pin","13","0",47.610247761025,-116.75556357556
"Target","13","1",47.610344961034,-116.75358447536
"Tee","13","0",47.609785160979,-116.75039757504
"Pin","14","0",47.609063360906,-116.7540290754
"Tee","14","0",47.608826660883,-116.7560351756
"Pin","15","0",47.606649560665,-116.75837427584
"Target","15","1",47.606829560683,-116.75657337566
"Tee","15","0",47.60829836083,-116.75394357539
"Pin","16","0",47.609378360938,-116.75892417589
"Target","16","1",47.607827660783,-116.76013197601
"Target","16","2",47.608985960899,-116.75950017595
"Tee","16","0",47.605712660571,-116.75894577589
"Pin","17","0",47.610179361018,-116.75878197588
"Tee","17","0",47.609274860927,-116.7570197757
"Pin","18","0",47.614465161447,-116.75911227591
"Target","18","1",47.612820861282,-116.75840577584
"Tee","18","0",47.610539361054,-116.75886477589
