"type","hole","numPoint","lat","lon"
"Pin","1","0",43.221643022164,-79.973451797345
"Target","1","1",43.220965322097,-79.974335597434
"Tee","1","0",43.219074421907,-79.976140097614
"Pin","2","0",43.219518121952,-79.969973296997
"Target","2","1",43.220764622076,-79.970211797021
"Tee","2","0",43.222063322206,-79.972250297225
"Pin","3","0",43.217477821748,-79.969050796905
"Target","3","1",43.218517321852,-79.968558496856
"Tee","3","0",43.220473922047,-79.969740196974
"Pin","4","0",43.214784121478,-79.968651196865
"Target","4","1",43.215620221562,-79.969754596975
"Tee","4","0",43.217763121776,-79.97029819703
"Pin","5","0",43.213775221378,-79.969992196999
"Tee","5","0",43.214471821447,-79.967950996795
"Pin","6","0",43.217574121757,-79.971070397107
"Target","6","1",43.216386121639,-79.970910197091
"Tee","6","0",43.214143321414,-79.97019559702
"Pin","7","0",43.21849662185,-79.970308097031
"Tee","7","0",43.217853121785,-79.971842597184
"Pin","8","0",43.22169792217,-79.972494197249
"Target","8","1",43.219851121985,-79.971347597135
"Target","8","2",43.22110032211,-79.972072997207
"Tee","8","0",43.218179821818,-79.969174096917
"Pin","9","0",43.219743121974,-79.97629759763
"Target","9","1",43.220753822075,-79.976323697632
"Tee","9","0",43.221887822189,-79.973835197383
