"type","hole","numPoint","lat","lon"
"Pin","1","0",52.860079686008,-2.6407712640771
"Target","1","1",52.859214785921,-2.6404760640476
"Tee","1","0",52.85730048573,-2.6418926641893
"Pin","2","0",52.857780185778,-2.638579763858
"Target","2","1",52.858479485848,-2.6390684639068
"Tee","2","0",52.860570186057,-2.6406641640664
"Pin","3","0",52.857710885771,-2.6408738640874
"Tee","3","0",52.857715385772,-2.6389262638926
"Pin","4","0",52.857533585753,-2.6376329637633
"Target","4","1",52.857308585731,-2.6389928638993
"Tee","4","0",52.857168185717,-2.6419115641912
"Pin","5","0",52.856552585655,-2.6423030642303
"Target","5","1",52.856637185664,-2.6410862641086
"Tee","5","0",52.857241985724,-2.6374781637478
"Pin","6","0",52.85530338553,-2.6452163645216
"Target","6","1",52.855729985573,-2.6441786644179
"Tee","6","0",52.856329385633,-2.6411366641137
"Pin","7","0",52.856392385639,-2.6394437639444
"Target","7","1",52.855863185586,-2.6412626641263
"Tee","7","0",52.855151285515,-2.6448887644889
"Pin","8","0",52.859358785936,-2.6370407637041
"Target","8","1",52.857331985733,-2.6369372636937
"Target","8","2",52.858893485889,-2.6368814636881
"Tee","8","0",52.856184485618,-2.6393420639342
"Pin","9","0",52.857624485762,-2.6361236636124
"Tee","9","0",52.859140085914,-2.6366060636606
"Pin","10","0",52.861722186172,-2.6352461635246
"Target","10","1",52.860041886004,-2.6353784635378
"Target","10","2",52.86139728614,-2.6352569635257
"Tee","10","0",52.857839585784,-2.6358473635847
"Pin","11","0",52.863433086343,-2.6400980640098
"Target","11","1",52.862821986282,-2.638240463824
"Tee","11","0",52.861967886197,-2.6346989634699
"Pin","12","0",52.863633786363,-2.6387435638744
"Tee","12","0",52.862745486275,-2.6399693639969
"Pin","13","0",52.866585786659,-2.6363486636349
"Target","13","1",52.86579738658,-2.6366843636684
"Tee","13","0",52.863835386384,-2.6382530638253
"Pin","14","0",52.863734586373,-2.6402375640238
"Target","14","1",52.86479658648,-2.6383556638356
"Target","14","2",52.863826386383,-2.6397245639725
"Tee","14","0",52.866757686676,-2.6363567636357
"Pin","15","0",52.863094686309,-2.6437916643792
"Target","15","1",52.863462786346,-2.6430824643082
"Tee","15","0",52.864087386409,-2.6401979640198
"Pin","16","0",52.86239988624,-2.6411447641145
"Target","16","1",52.862461986246,-2.6417774641777
"Tee","16","0",52.862908386291,-2.644470264447
"Pin","17","0",52.860318186032,-2.6412032641203
"Target","17","1",52.861155186116,-2.6408963640896
"Tee","17","0",52.863271086327,-2.6403878640388
"Pin","18","0",52.85789988579,-2.6425307642531
"Target","18","1",52.858856585886,-2.6424191642419
"Tee","18","0",52.861076886108,-2.641410264141
