"type","hole","numPoint","lat","lon"
"Pin","1","0",50.786663078666,-1.0088830008883
"Tee","1","0",50.786426378643,-1.0066087006609
"Pin","2","0",50.786618978662,-1.0154305015431
"Target","2","1",50.78649567865,-1.0123075012308
"Target","2","2",50.78660457866,-1.0147726014773
"Tee","2","0",50.787042878704,-1.0091728009173
"Pin","3","0",50.789176778918,-1.0174474017447
"Target","3","1",50.788265978827,-1.0171756017176
"Tee","3","0",50.786267978627,-1.0153639015364
"Pin","4","0",50.787209378721,-1.0136278013628
"Target","4","1",50.787831278783,-1.0149517014952
"Tee","4","0",50.789588078959,-1.0170991017099
"Pin","5","0",50.788430678843,-1.0130788013079
"Tee","5","0",50.78710407871,-1.0128079012808
"Pin","6","0",50.790460179046,-1.0172062017206
"Target","6","1",50.789539478954,-1.015959701596
"Tee","6","0",50.787733178773,-1.0137007013701
"Pin","7","0",50.787292178729,-1.0180783018078
"Target","7","1",50.789023778902,-1.0182781018278
"Target","7","2",50.787544178754,-1.0182142018214
"Tee","7","0",50.791267479127,-1.0174555017455
"Pin","8","0",50.789527778953,-1.0199341019934
"Target","8","1",50.788640378864,-1.0197181019718
"Tee","8","0",50.786808878681,-1.0187407018741
"Pin","9","0",50.791511379151,-1.0216054021605
"Target","9","1",50.791006479101,-1.0203031020303
"Tee","9","0",50.788852778885,-1.0190143019014
"Pin","10","0",50.789725778973,-1.0208647020865
"Target","10","1",50.789874278987,-1.0211212021121
"Tee","10","0",50.791672479167,-1.0222435022244
"Pin","11","0",50.788425278843,-1.0212373021237
"Tee","11","0",50.78960337896,-1.0205668020567
"Pin","12","0",50.792247579225,-1.022860002286
"Target","12","1",50.790932679093,-1.022729502273
"Tee","12","0",50.788755578876,-1.0215433021543
"Pin","13","0",50.794440879444,-1.0236061023606
"Target","13","1",50.793963879396,-1.0237591023759
"Tee","13","0",50.791667079167,-1.0240192024019
"Pin","14","0",50.791446579145,-1.0187965018797
"Target","14","1",50.792257479226,-1.0216774021677
"Target","14","2",50.791435779144,-1.0194985019499
"Tee","14","0",50.794332879433,-1.0232551023255
"Pin","15","0",50.789242478924,-1.013869901387
"Target","15","1",50.790145179015,-1.0153144015314
"Tee","15","0",50.791811079181,-1.0175365017537
"Pin","16","0",50.790287379029,-1.0141030014103
"Tee","16","0",50.788925678893,-1.0132156013216
"Pin","17","0",50.787690878769,-1.01029960103
"Target","17","1",50.788484678848,-1.0116226011623
"Tee","17","0",50.790448479045,-1.0135261013526
"Pin","18","0",50.786821478682,-1.0066870006687
"Target","18","1",50.787141878714,-1.0078687007869
"Tee","18","0",50.788486478849,-1.0108252010825
