"type","hole","numPoint","lat","lon"
"Pin","1","0",37.643070764307,-77.700915570092
"Target","1","1",37.644516164452,-77.702313270231
"Target","1","2",37.643610764361,-77.701109070111
"Tee","1","0",37.645922864592,-77.704681170468
"Pin","2","0",37.639612963961,-77.702318670232
"Target","2","1",37.640329364033,-77.701319670132
"Tee","2","0",37.642316564232,-77.699850869985
"Pin","3","0",37.635388363539,-77.702910870291
"Target","3","1",37.636306363631,-77.702869470287
"Tee","3","0",37.638482563848,-77.702731770273
"Pin","4","0",37.637019163702,-77.703791070379
"Tee","4","0",37.635385663539,-77.703755970376
"Pin","5","0",37.637768863777,-77.708345070835
"Target","5","1",37.637473663747,-77.707031070703
"Tee","5","0",37.636241563624,-77.704574070457
"Pin","6","0",37.641944864194,-77.708913870891
"Target","6","1",37.640764964077,-77.709093870909
"Tee","6","0",37.63850416385,-77.708543970854
"Pin","7","0",37.642488464249,-77.707449570745
"Tee","7","0",37.643486564349,-77.7090020709
"Pin","8","0",37.643044664304,-77.702460870246
"Target","8","1",37.643056364306,-77.705030370503
"Target","8","2",37.643423564342,-77.703166470317
"Tee","8","0",37.641634364163,-77.707318170732
"Pin","9","0",37.645009364501,-77.705348970535
"Target","9","1",37.644857264486,-77.704330170433
"Tee","9","0",37.643480264348,-77.702130570213
"Pin","10","0",37.649891864989,-77.708565570857
"Target","10","1",37.649214164921,-77.707226370723
"Tee","10","0",37.647532964753,-77.705239170524
"Pin","11","0",37.650643365064,-77.709868770987
"Tee","11","0",37.650240165024,-77.708125470813
"Pin","12","0",37.655572665557,-77.711288071129
"Target","12","1",37.653440565344,-77.710982071098
"Target","12","2",37.655164965516,-77.711093671109
"Tee","12","0",37.651142865114,-77.710174771018
"Pin","13","0",37.657683165768,-77.715546871555
"Target","13","1",37.657420365742,-77.714114971412
"Tee","13","0",37.656253965625,-77.711606671161
"Pin","14","0",37.654177665418,-77.716233571623
"Target","14","1",37.655332365533,-77.717169571717
"Tee","14","0",37.657513065751,-77.716236271624
"Pin","15","0",37.652576565258,-77.716968871697
"Tee","15","0",37.654024665402,-77.715785371579
"Pin","16","0",37.650324765032,-77.712593971259
"Target","16","1",37.651250865125,-77.714690071469
"Target","16","2",37.650455265046,-77.713052071305
"Tee","16","0",37.652376765238,-77.717345071735
"Pin","17","0",37.648821764882,-77.709211770921
"Target","17","1",37.649821664982,-77.709965070997
"Tee","17","0",37.649913464991,-77.712818971282
"Pin","18","0",37.647163064716,-77.705888070589
"Target","18","1",37.647924464792,-77.706867270687
"Tee","18","0",37.649471564947,-77.709091170909
