"type","hole","numPoint","lat","lon"
"Pin","1","0",56.871767087177,9.390290439029
"Target","1","1",56.872377287238,9.3918384391838
"Tee","1","0",56.874335687434,9.3922965392297
"Pin","2","0",56.870283887028,9.388520138852
"Tee","2","0",56.87109928711,9.3899421389942
"Pin","3","0",56.868342586834,9.3825225382523
"Target","3","1",56.868356086836,9.3838185383819
"Tee","3","0",56.869509886951,9.3873771387377
"Pin","4","0",56.865027886503,9.3747924374792
"Target","4","1",56.866622686662,9.3780288378029
"Target","4","2",56.865184486518,9.37590033759
"Tee","4","0",56.8680023868,9.3814011381401
"Pin","5","0",56.867741386774,9.3782043378204
"Target","5","1",56.867231986723,9.3762945376295
"Tee","5","0",56.865334786533,9.3739077373908
"Pin","6","0",56.867932186793,9.3727647372765
"Target","6","1",56.867933086793,9.3755772375577
"Tee","6","0",56.86819588682,9.3797631379763
"Pin","7","0",56.866358086636,9.3739077373908
"Tee","7","0",56.867684686768,9.3725235372524
"Pin","8","0",56.862387286239,9.3770829377083
"Target","8","1",56.863145986315,9.3753234375323
"Tee","8","0",56.865278986528,9.3737358373736
"Pin","9","0",56.866619086662,9.3814227381423
"Target","9","1",56.865021586502,9.3781755378175
"Target","9","2",56.866092586609,9.3805578380558
"Tee","9","0",56.862827386283,9.3769011376901
"Pin","10","0",56.866784686678,9.3822840382284
"Tee","10","0",56.867763886776,9.3812544381254
"Pin","11","0",56.86220008622,9.3777111377711
"Target","11","1",56.864990086499,9.3800610380061
"Target","11","2",56.863351186335,9.378490537849
"Tee","11","0",56.866469686647,9.383290238329
"Pin","12","0",56.864719186472,9.3837888383789
"Target","12","1",56.863862386386,9.3819357381936
"Tee","12","0",56.862375586238,9.3787191378719
"Pin","13","0",56.860715986072,9.3802320380232
"Target","13","1",56.862850786285,9.3821274382127
"Target","13","2",56.861670886167,9.3800322380032
"Tee","13","0",56.864736286474,9.3845448384545
"Pin","14","0",56.863184686318,9.3865140386514
"Target","14","1",56.862650086265,9.383480138348
"Tee","14","0",56.860808686081,9.3809511380951
"Pin","15","0",56.866642486664,9.3905748390575
"Target","15","1",56.865871186587,9.3899448389945
"Tee","15","0",56.864475286448,9.3865941386594
"Pin","16","0",56.866649686665,9.387669638767
"Tee","16","0",56.866722586672,9.3897486389749
"Pin","17","0",56.869128286913,9.3879036387904
"Target","17","1",56.867985286799,9.3884193388419
"Tee","17","0",56.866062886606,9.3861009386101
"Pin","18","0",56.873183687318,9.3934926393493
"Target","18","1",56.871979487198,9.3926052392605
"Tee","18","0",56.870181287018,9.3899736389974
