"type","hole","numPoint","lat","lon"
"Pin","1","0",52.057572105757,1.0390879039088
"Target","1","1",52.056765705677,1.0379251037925
"Tee","1","0",52.054684005468,1.0391815039182
"Pin","2","0",52.055062005506,1.0393966039397
"Target","2","1",52.055812605581,1.0396126039613
"Tee","2","0",52.058107605811,1.0399033039903
"Pin","3","0",52.056906105691,1.0459036045904
"Target","3","1",52.055773905577,1.0436770043677
"Target","3","2",52.056625305663,1.0453087045309
"Tee","3","0",52.055024205502,1.0401364040136
"Pin","4","0",52.056211305621,1.048840304884
"Tee","4","0",52.057207605721,1.0464265046427
"Pin","5","0",52.053839805384,1.0537435053744
"Target","5","1",52.054218705422,1.0524421052442
"Tee","5","0",52.055926005593,1.0499293049929
"Pin","6","0",52.054515705452,1.0548217054822
"Tee","6","0",52.054729005473,1.0528156052816
"Pin","7","0",52.052183805218,1.0538155053816
"Target","7","1",52.05269860527,1.0540207054021
"Tee","7","0",52.054531005453,1.0555381055538
"Pin","8","0",52.055319405532,1.0497952049795
"Target","8","1",52.054407705441,1.0502632050263
"Tee","8","0",52.053087405309,1.0529119052912
"Pin","9","0",52.052614005261,1.05239980524
"Target","9","1",52.05329710533,1.0499383049938
"Target","9","2",52.052822805282,1.0519345051935
"Tee","9","0",52.055530005553,1.0490284049028
"Pin","10","0",52.05260230526,1.0496530049653
"Tee","10","0",52.052247705225,1.0522009052201
"Pin","11","0",52.055341905534,1.0485235048524
"Target","11","1",52.05409540541,1.0480726048073
"Tee","11","0",52.051858905186,1.0489609048961
"Pin","12","0",52.055411205541,1.0443772044377
"Target","12","1",52.055965605597,1.0457020045702
"Tee","12","0",52.055724405572,1.049089604909
"Pin","13","0",52.055319405532,1.0468711046871
"Tee","13","0",52.054963005496,1.0446589044659
"Pin","14","0",52.051370205137,1.0468153046815
"Target","14","1",52.052794005279,1.0469710046971
"Tee","14","0",52.055091705509,1.0472230047223
"Pin","15","0",52.054624605462,1.0446238044624
"Target","15","1",52.05310360531,1.045860404586
"Target","15","2",52.054361805436,1.0452322045232
"Tee","15","0",52.05080140508,1.0459270045927
"Pin","16","0",52.054731705473,1.0399564039956
"Target","16","1",52.05449860545,1.0407259040726
"Tee","16","0",52.054917105492,1.0442728044273
"Pin","17","0",52.051588005159,1.0419067041907
"Target","17","1",52.052556405256,1.0416277041628
"Tee","17","0",52.054450005445,1.0394983039498
"Pin","18","0",52.054570605457,1.0385353038535
"Target","18","1",52.053353805335,1.0395622039562
"Tee","18","0",52.051342305134,1.0413838041384
