"type","hole","numPoint","lat","lon"
"Pin","1","0",28.11849851185,-82.751166175117
"Target","1","1",28.11649871165,-82.752214675221
"Target","1","2",28.118109711811,-82.751651275165
"Tee","1","0",28.114207311421,-82.752470275247
"Pin","2","0",28.12189781219,-82.750308475031
"Target","2","1",28.120517212052,-82.750251775025
"Tee","2","0",28.118816211882,-82.751474875147
"Pin","3","0",28.119319311932,-82.749934974993
"Target","3","1",28.120426312043,-82.749008874901
"Tee","3","0",28.122655612266,-82.749663174966
"Pin","4","0",28.118437311844,-82.749970074997
"Tee","4","0",28.119529911953,-82.748757774876
"Pin","5","0",28.113913911391,-82.750082575008
"Target","5","1",28.116618411662,-82.750634275063
"Target","5","2",28.114645611465,-82.750590175059
"Tee","5","0",28.11879731188,-82.750571275057
"Pin","6","0",28.118186211819,-82.749309474931
"Target","6","1",28.116836211684,-82.749821574982
"Tee","6","0",28.114534011453,-82.749881874988
"Pin","7","0",28.114957011496,-82.749157374916
"Target","7","1",28.116041511604,-82.749219474922
"Tee","7","0",28.118312211831,-82.748787474879
"Pin","8","0",28.112764611276,-82.748985474899
"Tee","8","0",28.114593411459,-82.749586674959
"Pin","9","0",28.114543011454,-82.751321875132
"Target","9","1",28.113511611351,-82.750771075077
"Tee","9","0",28.111862811186,-82.748948574895
"Pin","10","0",28.111375911138,-82.749474174947
"Target","10","1",28.112332611233,-82.750553275055
"Tee","10","0",28.114022811402,-82.752325375232
"Pin","11","0",28.107651710765,-82.748841474884
"Target","11","1",28.109956610996,-82.749081774908
"Target","11","2",28.10819981082,-82.748852274885
"Tee","11","0",28.112241711224,-82.748763174876
"Pin","12","0",28.109459810946,-82.752218275222
"Target","12","1",28.10889731089,-82.7510014751
"Tee","12","0",28.107868610787,-82.749258174926
"Pin","13","0",28.109551610955,-82.751015875102
"Tee","13","0",28.11030491103,-82.752586375259
"Pin","14","0",28.111785411179,-82.755640075564
"Target","14","1",28.111119411112,-82.753012975301
"Target","14","2",28.111247211125,-82.755058675506
"Tee","14","0",28.110041211004,-82.750758475076
"Pin","15","0",28.11159821116,-82.753390075339
"Tee","15","0",28.112059011206,-82.755267475527
"Pin","16","0",28.109611010961,-82.750369675037
"Target","16","1",28.1109988111,-82.750765675077
"Tee","16","0",28.112061711206,-82.753081375308
"Pin","17","0",28.110575811058,-82.749656874966
"Tee","17","0",28.108863110886,-82.749841374984
"Pin","18","0",28.113148911315,-82.752856375286
"Target","18","1",28.112482911248,-82.751627875163
"Tee","18","0",28.110916911092,-82.749714474971
