"type","hole","numPoint","lat","lon"
"Pin","1","0",57.673560967356,-1.9210888921089
"Target","1","1",57.674053267405,-1.9224793922479
"Tee","1","0",57.6749955675,-1.9262386926239
"Pin","2","0",57.672528667253,-1.9192438919244
"Tee","2","0",57.673848067385,-1.9210141921014
"Pin","3","0",57.673848067385,-1.924120092412
"Target","3","1",57.673578967358,-1.9225855922586
"Tee","3","0",57.672140767214,-1.9195228919523
"Pin","4","0",57.671805067181,-1.9198765919877
"Target","4","1",57.672345967235,-1.9208278920828
"Tee","4","0",57.673587067359,-1.924270392427
"Pin","5","0",57.672516967252,-1.9226611922661
"Target","5","1",57.672235267224,-1.9220959922096
"Tee","5","0",57.670978867098,-1.9197694919769
"Pin","6","0",57.669347166935,-1.9205155920516
"Target","6","1",57.670972567097,-1.9209673920967
"Target","6","2",57.669626166963,-1.9206469920647
"Tee","6","0",57.672777967278,-1.9235143923514
"Pin","7","0",57.667772166777,-1.9200322920032
"Tee","7","0",57.669389466939,-1.9198288919829
"Pin","8","0",57.66660126666,-1.9189540918954
"Tee","8","0",57.667734366773,-1.9195174919517
"Pin","9","0",57.664432266443,-1.9163791916379
"Target","9","1",57.664707666471,-1.9169227916923
"Tee","9","0",57.666277266628,-1.9188955918896
"Pin","10","0",57.663129066313,-1.9147213914721
"Target","10","1",57.663484566348,-1.915120091512
"Tee","10","0",57.664888566489,-1.9162180916218
"Pin","11","0",57.661824066182,-1.9128277912828
"Tee","11","0",57.6630030663,-1.9149580914958
"Pin","12","0",57.665249466525,-1.9154728915473
"Target","12","1",57.664191066419,-1.9142524914252
"Tee","12","0",57.662067966207,-1.9125865912587
"Pin","13","0",57.666782166678,-1.9185193918519
"Target","13","1",57.666317766632,-1.9175257917526
"Tee","13","0",57.66449796645,-1.9152847915285
"Pin","14","0",57.667289766729,-1.9200430920043
"Tee","14","0",57.666139566614,-1.9190557919056
"Pin","15","0",57.669685566969,-1.9227574922757
"Target","15","1",57.669267966927,-1.9221427922143
"Tee","15","0",57.667436466744,-1.9203976920398
"Pin","16","0",57.671328967133,-1.9237771923777
"Tee","16","0",57.669943866994,-1.9227844922784
"Pin","17","0",57.668612766861,-1.9208422920842
"Target","17","1",57.669769266977,-1.9216063921606
"Tee","17","0",57.671716867172,-1.92359989236
"Pin","18","0",57.671908567191,-1.923159792316
"Target","18","1",57.671076967108,-1.9222750922275
"Tee","18","0",57.669053766905,-1.9203868920387
