"type","hole","numPoint","lat","lon"
"Pin","1","0",55.628747262875,-4.6917364691736
"Target","1","1",55.628075862808,-4.6900390690039
"Tee","1","0",55.626681762668,-4.6869781686978
"Pin","2","0",55.625994162599,-4.6884478688448
"Target","2","1",55.627247862725,-4.6901488690149
"Target","2","2",55.62619666262,-4.6887484688748
"Tee","2","0",55.6290010629,-4.6927930692793
"Pin","3","0",55.625173362517,-4.6854382685438
"Target","3","1",55.625566662557,-4.686659568666
"Tee","3","0",55.627145262715,-4.6892146689215
"Pin","4","0",55.623709962371,-4.6828039682804
"Target","4","1",55.623839562384,-4.6832548683255
"Tee","4","0",55.625608962561,-4.6853788685379
"Pin","5","0",55.624328262433,-4.6862536686254
"Target","5","1",55.623880062388,-4.6853986685399
"Tee","5","0",55.623531762353,-4.6825519682552
"Pin","6","0",55.621060362106,-4.6861249686125
"Target","6","1",55.622129562213,-4.6862536686254
"Tee","6","0",55.624419162442,-4.6866829686683
"Pin","7","0",55.623019662302,-4.6875460687546
"Target","7","1",55.622473362247,-4.6874263687426
"Tee","7","0",55.62049696205,-4.6861888686189
"Pin","8","0",55.624494762449,-4.6871491687149
"Tee","8","0",55.623141162314,-4.688190468819
"Pin","9","0",55.626823962682,-4.6909210690921
"Target","9","1",55.625752062575,-4.689270468927
"Tee","9","0",55.624540662454,-4.6858027685803
"Pin","10","0",55.629273762927,-4.6939837693984
"Target","10","1",55.628661762866,-4.693250269325
"Tee","10","0",55.626935562694,-4.690550269055
"Pin","11","0",55.625994162599,-4.6904593690459
"Target","11","1",55.626913062691,-4.6924564692456
"Tee","11","0",55.628980362898,-4.6942519694252
"Pin","12","0",55.626127362613,-4.6949386694939
"Target","12","1",55.62639646264,-4.6930045693005
"Tee","12","0",55.62559996256,-4.6899661689966
"Pin","13","0",55.629424962942,-4.6946650694665
"Target","13","1",55.628235162823,-4.6950259695026
"Tee","13","0",55.625948262595,-4.6955128695513
"Pin","14","0",55.628638362864,-4.6898428689843
"Target","14","1",55.6290001629,-4.6910110691011
"Tee","14","0",55.630136863014,-4.6945579694558
"Pin","15","0",55.630376263038,-4.6940215694022
"Target","15","1",55.630172863017,-4.692790369279
"Tee","15","0",55.6290046629,-4.6897942689794
"Pin","16","0",55.630660663066,-4.6919776691978
"Tee","16","0",55.630551763055,-4.6942573694257
"Pin","17","0",55.628392662839,-4.6887907688791
"Target","17","1",55.629523062952,-4.6895323689532
"Tee","17","0",55.631124163112,-4.6918165691817
"Pin","18","0",55.626926562693,-4.6866235686624
"Target","18","1",55.627480962748,-4.6872211687221
"Tee","18","0",55.629488862949,-4.6890643689064
