"type","hole","numPoint","lat","lon"
"Pin","1","0",28.480812448081,-81.525633352563
"Target","1","1",28.480128448013,-81.526913152691
"Tee","1","0",28.478188047819,-81.527322652732
"Pin","2","0",28.479982647998,-81.522446452245
"Tee","2","0",28.480671148067,-81.524509252451
"Pin","3","0",28.485152248515,-81.520338652034
"Target","3","1",28.483044448304,-81.522044152204
"Target","3","2",28.484843548484,-81.521119852112
"Tee","3","0",28.480878148088,-81.521156752116
"Pin","4","0",28.489638748964,-81.518122851812
"Target","4","1",28.487926948793,-81.518058951806
"Tee","4","0",28.486168348617,-81.51960065196
"Pin","5","0",28.491823949182,-81.518337051834
"Tee","5","0",28.490020349002,-81.517873551787
"Pin","6","0",28.489188748919,-81.520494352049
"Target","6","1",28.490185049019,-81.520292752029
"Tee","6","0",28.492354949235,-81.519415251942
"Pin","7","0",28.485623848562,-81.523978252398
"Target","7","1",28.487006248701,-81.521965852197
"Target","7","2",28.485609448561,-81.523485052349
"Tee","7","0",28.488790048879,-81.520308952031
"Pin","8","0",28.481729548173,-81.525469552547
"Target","8","1",28.482610648261,-81.524064652406
"Tee","8","0",28.484884048488,-81.523645252365
"Pin","9","0",28.47770294777,-81.525844852584
"Target","9","1",28.478987247899,-81.52620305262
"Tee","9","0",28.480933048093,-81.52480175248
"Pin","10","0",28.481121148112,-81.52870415287
"Target","10","1",28.480331848033,-81.527724952773
"Tee","10","0",28.47819794782,-81.527577352758
"Pin","11","0",28.482776248278,-81.528873352887
"Tee","11","0",28.482071548207,-81.527338852734
"Pin","12","0",28.484822848482,-81.53179925318
"Target","12","1",28.483844548384,-81.530980253098
"Tee","12","0",28.482333448233,-81.529004752901
"Pin","13","0",28.482160648216,-81.535581053558
"Target","13","1",28.48350074835,-81.533555153356
"Target","13","2",28.482464848246,-81.53529935353
"Tee","13","0",28.485211648521,-81.53180195318
"Pin","14","0",28.483188448319,-81.541222254122
"Target","14","1",28.482774448277,-81.539852453985
"Tee","14","0",28.482215548222,-81.537311753731
"Pin","15","0",28.480821448082,-81.540232254023
"Tee","15","0",28.482594448259,-81.54050045405
"Pin","16","0",28.481571148157,-81.536879753688
"Target","16","1",28.480987948099,-81.537588053759
"Tee","16","0",28.479869247987,-81.539438453944
"Pin","17","0",28.480218448022,-81.53089565309
"Target","17","1",28.48029764803,-81.533779253378
"Target","17","2",28.480347148035,-81.531534653153
"Tee","17","0",28.481460448146,-81.536040053604
"Pin","18","0",28.478233047823,-81.528492652849
"Target","18","1",28.479875547988,-81.528549352855
"Tee","18","0",28.48059554806,-81.531037853104
