"type","hole","numPoint","lat","lon"
"Pin","1","0",18.421025442103,109.94914639491
"Target","1","1",18.420147942015,109.95033079503
"Tee","1","0",18.419893241989,109.95248089525
"Pin","2","0",18.420638442064,109.95266629527
"Target","2","1",18.420424242042,109.95154579515
"Tee","2","0",18.421437642144,109.94936689494
"Pin","3","0",18.422720142272,109.95406039541
"Target","3","1",18.421166742117,109.95413689541
"Tee","3","0",18.419340641934,109.95265819527
"Pin","4","0",18.42560104256,109.9539964954
"Tee","4","0",18.424193442419,109.95480649548
"Pin","5","0",18.424074642407,109.94964049496
"Target","5","1",18.424647942465,109.95127939513
"Tee","5","0",18.425565042556,109.95350509535
"Pin","6","0",18.424684842468,109.95365809537
"Target","6","1",18.424518342452,109.95246379525
"Tee","6","0",18.423725442373,109.95018499502
"Pin","7","0",18.422821842282,109.94878729488
"Target","7","1",18.423646242365,109.95145219515
"Target","7","2",18.423166542317,109.94965849497
"Tee","7","0",18.424188942419,109.95381109538
"Pin","8","0",18.424789242479,109.94641399464
"Target","8","1",18.424435542444,109.94762449476
"Tee","8","0",18.422349342235,109.94854339485
"Pin","9","0",18.425178942518,109.9509544951
"Target","9","1",18.424670442467,109.94847229485
"Target","9","2",18.424793742479,109.95028759503
"Tee","9","0",18.425623542562,109.94626369463
"Pin","10","0",18.426123042612,109.95351319535
"Tee","10","0",18.425478642548,109.95161959516
"Pin","11","0",18.429392742939,109.9559620956
"Target","11","1",18.42759994276,109.95580639558
"Tee","11","0",18.426407442641,109.95388399539
"Pin","12","0",18.42609694261,109.95590359559
"Target","12","1",18.427207542721,109.95653629565
"Tee","12","0",18.429509742951,109.95653089565
"Pin","13","0",18.424782042478,109.9550476955
"Tee","13","0",18.426453342645,109.9550368955
"Pin","14","0",18.419868041987,109.95660829566
"Target","14","1",18.421368342137,109.95551839555
"Target","14","2",18.420438642044,109.95667669567
"Tee","14","0",18.42350134235,109.95460489546
"Pin","15","0",18.418081541808,109.95393709539
"Target","15","1",18.418024841802,109.95483799548
"Tee","15","0",18.419526941953,109.95618799562
"Pin","16","0",18.414459941446,109.95517369552
"Target","16","1",18.415878341588,109.95418639542
"Tee","16","0",18.417981641798,109.95319999532
"Pin","17","0",18.413788541379,109.95263659526
"Tee","17","0",18.414118841412,109.95458599546
"Pin","18","0",18.418112141811,109.95249709525
"Target","18","1",18.416128541613,109.95291739529
"Target","18","2",18.417633341763,109.95268609527
"Tee","18","0",18.414063041406,109.95166009517
