"type","hole","numPoint","lat","lon"
"Pin","1","0",52.114905711491,-0.22806812280681
"Target","1","1",52.115655411566,-0.22717532271753
"Tee","1","0",52.117363611736,-0.22476062247606
"Pin","2","0",52.115107311511,-0.2295090229509
"Tee","2","0",52.114275711428,-0.22781612278161
"Pin","3","0",52.116452811645,-0.2275020227502
"Target","3","1",52.116043311604,-0.22806992280699
"Tee","3","0",52.115011911501,-0.23080952308095
"Pin","4","0",52.117450911745,-0.22542932254293
"Target","4","1",52.117312311731,-0.22608092260809
"Tee","4","0",52.116322311632,-0.22878452287845
"Pin","5","0",52.1210032121,-0.2258550225855
"Target","5","1",52.119877311988,-0.22569572256957
"Tee","5","0",52.117630011763,-0.22487942248794
"Pin","6","0",52.120886212089,-0.22729862272986
"Tee","6","0",52.121443312144,-0.22548242254824
"Pin","7","0",52.117887411789,-0.22596572259657
"Target","7","1",52.119260811926,-0.22639592263959
"Tee","7","0",52.121255212126,-0.22840112284011
"Pin","8","0",52.117679511768,-0.22711322271132
"Tee","8","0",52.118919711892,-0.22704122270412
"Pin","9","0",52.115284611528,-0.23098142309814
"Target","9","1",52.115926311593,-0.23010752301075
"Tee","9","0",52.117623711762,-0.22767392276739
"Pin","10","0",52.118790111879,-0.22895642289564
"Target","10","1",52.117255611726,-0.22978982297898
"Target","10","2",52.118447211845,-0.22905272290527
"Tee","10","0",52.115283711528,-0.23172392317239
"Pin","11","0",52.117907211791,-0.22847582284758
"Tee","11","0",52.119374211937,-0.22850552285055
"Pin","12","0",52.120423612042,-0.22855142285514
"Target","12","1",52.119751311975,-0.22793762279376
"Tee","12","0",52.117778511778,-0.22787012278701
"Pin","13","0",52.12149731215,-0.2292750229275
"Tee","13","0",52.119766611977,-0.22880072288007
"Pin","14","0",52.121734012173,-0.22561652256165
"Target","14","1",52.121466712147,-0.22658132265813
"Tee","14","0",52.121868112187,-0.2294550229455
"Pin","15","0",52.12169981217,-0.22052612205261
"Target","15","1",52.121409112141,-0.22148282214828
"Tee","15","0",52.121968012197,-0.22512062251206
"Pin","16","0",52.119264411926,-0.22295612229561
"Target","16","1",52.120663012066,-0.22203092220309
"Tee","16","0",52.121463112146,-0.21976652197665
"Pin","17","0",52.12129931213,-0.22416842241684
"Target","17","1",52.120555012055,-0.22345472234547
"Tee","17","0",52.118707311871,-0.22361852236185
"Pin","18","0",52.118042211804,-0.22442042244204
"Target","18","1",52.119653211965,-0.22474082247408
"Target","18","2",52.118351811835,-0.22442582244258
"Tee","18","0",52.121955412196,-0.22468592246859
