"type","hole","numPoint","lat","lon"
"Pin","1","0",-31.745544774554,115.75046957505
"Target","1","1",-31.746543774654,115.75051187505
"Tee","1","0",-31.748842374884,115.75068557507
"Pin","2","0",-31.742745774275,115.75086107509
"Target","2","1",-31.743342474334,115.75076207508
"Tee","2","0",-31.745464674546,115.75106537511
"Pin","3","0",-31.740341874034,115.74965957497
"Tee","3","0",-31.741682874168,115.74938057494
"Pin","4","0",-31.73669867367,115.74676067468
"Target","4","1",-31.73860487386,115.74808637481
"Target","4","2",-31.737105473711,115.74718007472
"Tee","4","0",-31.739970173997,115.749957475
"Pin","5","0",-31.739116973912,115.75013477501
"Target","5","1",-31.738374473837,115.74908807491
"Tee","5","0",-31.736589773659,115.74737717474
"Pin","6","0",-31.737946973795,115.75329647533
"Target","6","1",-31.737964073796,115.75229117523
"Tee","6","0",-31.738614773861,115.75025537503
"Pin","7","0",-31.741065474107,115.75018247502
"Target","7","1",-31.739755073976,115.75079717508
"Tee","7","0",-31.738418573842,115.7530021753
"Pin","8","0",-31.744315374432,115.75014017501
"Tee","8","0",-31.742520774252,115.74988277499
"Pin","9","0",-31.748560674856,115.74994127499
"Target","9","1",-31.746513174651,115.74970277497
"Target","9","2",-31.748071974807,115.74958487496
"Tee","9","0",-31.744210974421,115.74973787497
