"type","hole","numPoint","lat","lon"
"Pin","1","0",-31.75069547507,115.75512617551
"Target","1","1",-31.750759375076,115.75364297536
"Tee","1","0",-31.74979997498,115.75118237512
"Pin","2","0",-31.748108874811,115.7529589753
"Target","2","1",-31.749130374913,115.75361867536
"Tee","2","0",-31.750248175025,115.75587407559
"Pin","3","0",-31.746509574651,115.75256747526
"Tee","3","0",-31.747563474756,115.75213547521
"Pin","4","0",-31.744239774424,115.75512617551
"Target","4","1",-31.745560074556,115.75341617534
"Target","4","2",-31.744152474415,115.75450697545
"Tee","4","0",-31.746192774619,115.75106537511
"Pin","5","0",-31.747517574752,115.75279517528
"Target","5","1",-31.746379074638,115.75357187536
"Tee","5","0",-31.744689774469,115.75526567553
"Pin","6","0",-31.749882774988,115.75619897562
"Target","6","1",-31.749323874932,115.75519907552
"Tee","6","0",-31.747666074767,115.75339097534
"Pin","7","0",-31.748806374881,115.75808987581
"Tee","7","0",-31.750124875012,115.75660667566
"Pin","8","0",-31.75169897517,115.75467797547
"Target","8","1",-31.750681075068,115.75705127571
"Target","8","2",-31.751570275157,115.75514327551
"Tee","8","0",-31.748941374894,115.75889717589
"Pin","9","0",-31.750530775053,115.75163147516
"Target","9","1",-31.751253475125,115.75276637528
"Tee","9","0",-31.75279607528,115.75477787548
