"type","hole","numPoint","lat","lon"
"Pin","1","0",42.052485305249,-80.207429320743
"Target","1","1",42.05320350532,-80.20790182079
"Tee","1","0",42.05530320553,-80.209172620917
"Pin","2","0",42.054359105436,-80.204607820461
"Target","2","1",42.054184505418,-80.20510462051
"Tee","2","0",42.05259870526,-80.207117920712
"Pin","3","0",42.055339205534,-80.204712220471
"Tee","3","0",42.054490505449,-80.206144120614
"Pin","4","0",42.056868305687,-80.202553120255
"Target","4","1",42.056159105616,-80.203922020392
"Tee","4","0",42.055186205519,-80.206793920679
"Pin","5","0",42.054477005448,-80.204022820402
"Target","5","1",42.055233005523,-80.203735720374
"Tee","5","0",42.056868305687,-80.201633320163
"Pin","6","0",42.051244205124,-80.202351520235
"Target","6","1",42.052417805242,-80.202993220299
"Tee","6","0",42.054488705449,-80.204347720435
"Pin","7","0",42.053925305393,-80.204586220459
"Target","7","1",42.052665305267,-80.204246020425
"Tee","7","0",42.050642105064,-80.202766420277
"Pin","8","0",42.051391805139,-80.208732520873
"Target","8","1",42.052091105209,-80.206844320684
"Target","8","2",42.051540305154,-80.208331120833
"Tee","8","0",42.053831705383,-80.20490032049
"Pin","9","0",42.054917105492,-80.209626220963
"Target","9","1",42.05410170541,-80.20920142092
"Tee","9","0",42.051841805184,-80.20860382086
"Pin","10","0",42.051708605171,-80.20929592093
"Target","10","1",42.052569905257,-80.209446220945
"Tee","10","0",42.05480370548,-80.21019952102
"Pin","11","0",42.050615105062,-80.210779121078
"Tee","11","0",42.051434105143,-80.209317520932
"Pin","12","0",42.054621905462,-80.211742121174
"Target","12","1",42.052550105255,-80.210928521093
"Target","12","2",42.053981105398,-80.211436121144
"Tee","12","0",42.050248805025,-80.211041021104
"Pin","13","0",42.056352605635,-80.21559682156
"Target","13","1",42.056039405604,-80.214516821452
"Tee","13","0",42.054909005491,-80.212007621201
"Pin","14","0",42.05330340533,-80.213654621365
"Target","14","1",42.054878405488,-80.213642021364
"Target","14","2",42.053521205352,-80.213614121361
"Tee","14","0",42.056293205629,-80.215946921595
"Pin","15","0",42.054590405459,-80.21250352125
"Tee","15","0",42.052938005294,-80.213233421323
"Pin","16","0",42.056825105683,-80.214215321422
"Target","16","1",42.05660460566,-80.213222621322
"Tee","16","0",42.054943205494,-80.211689021169
"Pin","17","0",42.057551405755,-80.210918621092
"Target","17","1",42.057417305742,-80.211983321198
"Tee","17","0",42.056838605684,-80.214984821499
"Pin","18","0",42.054881105488,-80.211342521134
"Target","18","1",42.055611905561,-80.211129221113
"Tee","18","0",42.057862805786,-80.210470421047
