"type","hole","numPoint","lat","lon"
"Pin","1","0",34.941737594174,139.14259781426
"Target","1","1",34.942364894236,139.14164021416
"Tee","1","0",34.942953494295,139.13892491389
"Pin","2","0",34.94420449442,139.14472361447
"Target","2","1",34.94319829432,139.14432311443
"Tee","2","0",34.94129749413,139.14273731427
"Pin","3","0",34.94380219438,139.14008051401
"Target","3","1",34.943358494336,139.14244661424
"Target","3","2",34.94369599437,139.14048281405
"Tee","3","0",34.944283694428,139.14434291443
"Pin","4","0",34.944681494468,139.14461651446
"Target","4","1",34.944190994419,139.14264641426
"Target","4","2",34.944610394461,139.14427361443
"Tee","4","0",34.944064094406,139.13984201398
"Pin","5","0",34.947177194718,139.14441761444
"Tee","5","0",34.945754294575,139.1440315144
"Pin","6","0",34.949184194918,139.14087431409
"Target","6","1",34.948153694815,139.14154481415
"Tee","6","0",34.946954894695,139.14394331439
"Pin","7","0",34.948329194833,139.14380111438
"Target","7","1",34.948582094858,139.14269861427
"Tee","7","0",34.949856494986,139.14035951404
"Pin","8","0",34.949434394943,139.14258071426
"Tee","8","0",34.948865594887,139.14410441441
"Pin","9","0",34.950843795084,139.14019841402
"Target","9","1",34.950545895055,139.14111641411
"Tee","9","0",34.949586494959,139.14344741434
"Pin","10","0",34.952169495217,139.14045131405
"Tee","10","0",34.951206495121,139.13975111398
"Pin","11","0",34.955128695513,139.14463541446
"Target","11","1",34.953007395301,139.1429551143
"Target","11","2",34.954645395465,139.14429881443
"Tee","11","0",34.951617795162,139.14059081406
"Pin","12","0",34.951850895185,139.14453101445
"Target","12","1",34.952685195269,139.14389111439
"Tee","12","0",34.954792095479,139.14489281449
"Pin","13","0",34.951433295143,139.14113531411
"Target","13","1",34.951553895155,139.14225761423
"Tee","13","0",34.951507995151,139.1450161145
"Pin","14","0",34.949788994979,139.1450215145
"Target","14","1",34.950744795074,139.14411341441
"Tee","14","0",34.951105695111,139.14149171415
"Pin","15","0",34.945705694571,139.14552551455
"Target","15","1",34.947584894758,139.14509531451
"Target","15","2",34.946025194603,139.14555341456
"Tee","15","0",34.949889794989,139.14435101443
"Pin","16","0",34.945457294546,139.14436991444
"Tee","16","0",34.945334894533,139.14619061462
"Pin","17","0",34.94489929449,139.14071681407
"Target","17","1",34.944906494491,139.1419561142
"Tee","17","0",34.944960494496,139.14476411448
"Pin","18","0",34.94309839431,139.13843891384
"Target","18","1",34.943542094354,139.13888441389
"Tee","18","0",34.945323194532,139.14041621404
