"type","hole","numPoint","lat","lon"
"Pin","1","0",53.312322531232,-6.6324507632451
"Target","1","1",53.3119994312,-6.6306345630635
"Tee","1","0",53.312075031208,-6.626920262692
"Pin","2","0",53.313321531332,-6.6370164637016
"Target","2","1",53.312969631297,-6.6353820635382
"Tee","2","0",53.31269873127,-6.6315552631555
"Pin","3","0",53.312892231289,-6.6391341639134
"Tee","3","0",53.31289583129,-6.6368094636809
"Pin","4","0",53.311660131166,-6.6327063632706
"Target","4","1",53.311828431183,-6.6362856636286
"Target","4","2",53.311954431195,-6.6334722633472
"Tee","4","0",53.312406231241,-6.6400872640087
"Pin","5","0",53.310741231074,-6.63919986392
"Target","5","1",53.311153431115,-6.6371856637186
"Tee","5","0",53.311278531128,-6.6332688633269
"Pin","6","0",53.310359631036,-6.6331581633158
"Target","6","1",53.310380331038,-6.6357222635722
"Tee","6","0",53.310124731012,-6.639690363969
"Pin","7","0",53.3069999307,-6.6351075635108
"Target","7","1",53.308116830812,-6.6343335634334
"Tee","7","0",53.310212931021,-6.6325767632577
"Pin","8","0",53.307746030775,-6.6321906632191
"Tee","8","0",53.307190730719,-6.6343407634341
"Pin","9","0",53.31059543106,-6.6272181627218
"Target","9","1",53.309492030949,-6.6285735628574
"Tee","9","0",53.308215830822,-6.6319458631946
"Pin","10","0",53.310315531032,-6.6186636618664
"Target","10","1",53.31159533116,-6.6219882621988
"Target","10","2",53.31069893107,-6.6195168619517
"Tee","10","0",53.311958031196,-6.6259329625933
"Pin","11","0",53.310227331023,-6.6237153623715
"Target","11","1",53.31060443106,-6.6217911621791
"Tee","11","0",53.309726930973,-6.6183027618303
"Pin","12","0",53.309755730976,-6.6201153620115
"Tee","12","0",53.310023931002,-6.6225138622514
"Pin","13","0",53.309871830987,-6.6141609614161
"Target","13","1",53.309216630922,-6.6157242615724
"Tee","13","0",53.309634230963,-6.6195843619584
"Pin","14","0",53.311040031104,-6.6124662612466
"Tee","14","0",53.310157131016,-6.6149682614968
"Pin","15","0",53.308042130804,-6.6150627615063
"Target","15","1",53.309233730923,-6.6139512613951
"Tee","15","0",53.310959931096,-6.6112989611299
"Pin","16","0",53.306464430646,-6.6227037622704
"Target","16","1",53.30639873064,-6.6186690618669
"Target","16","2",53.306771330677,-6.6217020621702
"Tee","16","0",53.307281630728,-6.6150357615036
"Pin","17","0",53.307746030775,-6.631130463113
"Target","17","1",53.307538130754,-6.6292773629277
"Tee","17","0",53.30590373059,-6.6265638626564
"Pin","18","0",53.311288431129,-6.6289830628983
"Target","18","1",53.310178731018,-6.6319242631924
"Target","18","2",53.31089693109,-6.6293718629372
"Tee","18","0",53.307917930792,-6.6329583632958
