"type","hole","numPoint","lat","lon"
"Pin","1","0",-32.370793737079,115.73966057397
"Target","1","1",-32.370108837011,115.73876237388
"Tee","1","0",-32.36889563689,115.73650337365
"Pin","2","0",-32.373878937388,115.74167747417
"Target","2","1",-32.373127437313,115.7409682741
"Tee","2","0",-32.371038537104,115.74007907401
"Pin","3","0",-32.375209137521,115.74279617428
"Tee","3","0",-32.374237137424,115.74151637415
"Pin","4","0",-32.371322037132,115.74155147416
"Target","4","1",-32.373506337351,115.74240107424
"Target","4","2",-32.371994337199,115.74151637415
"Tee","4","0",-32.375376537538,115.74407237441
"Pin","5","0",-32.367488936749,115.74090527409
"Target","5","1",-32.368967636897,115.74140027414
"Tee","5","0",-32.371162737116,115.7420419742
"Pin","6","0",-32.365159736516,115.74122387412
"Tee","6","0",-32.366906636691,115.74108707411
"Pin","7","0",-32.367320636732,115.74054797405
"Target","7","1",-32.366737436674,115.74040307404
"Tee","7","0",-32.36479973648,115.74084317408
"Pin","8","0",-32.371183437118,115.74079007408
"Target","8","1",-32.369192636919,115.74024197402
"Target","8","2",-32.370692037069,115.74091517409
"Tee","8","0",-32.366869736687,115.73986937399
"Pin","9","0",-32.368344836834,115.73708297371
"Target","9","1",-32.368746236875,115.73883257388
"Tee","9","0",-32.370583137058,115.74012767401
"Pin","10","0",-32.364928436493,115.73968217397
"Target","10","1",-32.365654736565,115.73832497383
"Tee","10","0",-32.366747336675,115.73614967361
"Pin","11","0",-32.360972936097,115.74065057407
"Target","11","1",-32.362360736236,115.74031307403
"Tee","11","0",-32.364541436454,115.73981897398
"Pin","12","0",-32.358258535826,115.74155417416
"Target","12","1",-32.358936235894,115.74152807415
"Tee","12","0",-32.360669636067,115.73973257397
"Pin","13","0",-32.35370183537,115.74383657438
"Target","13","1",-32.355837535584,115.74262697426
"Target","13","2",-32.354184235418,115.74349727435
"Tee","13","0",-32.358034435803,115.74224627422
"Pin","14","0",-32.355673735567,115.74448277445
"Tee","14","0",-32.354148235415,115.74430637443
"Pin","15","0",-32.359454635945,115.74237767424
"Target","15","1",-32.358447535845,115.74288707429
"Tee","15","0",-32.356226335623,115.74360617436
"Pin","16","0",-32.360347436035,115.74139487414
"Tee","16","0",-32.360000036,115.74277907428
"Pin","17","0",-32.364756536476,115.74024827402
"Target","17","1",-32.36269553627,115.74123827412
"Target","17","2",-32.36440193644,115.74069287407
"Tee","17","0",-32.360726336073,115.74234257423
"Pin","18","0",-32.367105536711,115.73656547366
"Target","18","1",-32.366561036656,115.73784977378
"Tee","18","0",-32.365334336533,115.74015647402
