"type","hole","numPoint","lat","lon"
"Pin","1","0",32.607723260772,-80.095613309561
"Target","1","1",32.608235360824,-80.096730209673
"Tee","1","0",32.610369261037,-80.097458309746
"Pin","2","0",32.609341460934,-80.091224909123
"Target","2","1",32.608053560805,-80.093356109336
"Target","2","2",32.609035460904,-80.091669509167
"Tee","2","0",32.606231960623,-80.095106609511
"Pin","3","0",32.610308061031,-80.088433108843
"Tee","3","0",32.609009360901,-80.089714708971
"Pin","4","0",32.607445160745,-80.087666308767
"Target","4","1",32.60870336087,-80.087952508795
"Tee","4","0",32.610445761045,-80.08759610876
"Pin","5","0",32.608586360859,-80.090135909014
"Target","5","1",32.608553960855,-80.089253908925
"Tee","5","0",32.606817860682,-80.087858908786
"Pin","6","0",32.610846261085,-80.090680409068
"Tee","6","0",32.609407160941,-80.090890109089
"Pin","7","0",32.610222561022,-80.095441409544
"Target","7","1",32.610646461065,-80.093663009366
"Tee","7","0",32.611559961156,-80.091048509105
"Pin","8","0",32.61369746137,-80.093309309331
"Target","8","1",32.612714661271,-80.095494509549
"Target","8","2",32.613708261371,-80.093817809382
"Tee","8","0",32.610633861063,-80.096876909688
"Pin","9","0",32.612285361229,-80.09769770977
"Target","9","1",32.612858661286,-80.096282009628
"Tee","9","0",32.614544361454,-80.094720509472
"Pin","10","0",32.607311960731,-80.099124209912
"Target","10","1",32.608621460862,-80.099493209949
"Tee","10","0",32.610918261092,-80.09930420993
"Pin","11","0",32.606964560696,-80.095940909594
"Target","11","1",32.607032960703,-80.097065909707
"Tee","11","0",32.606584760658,-80.099647109965
"Pin","12","0",32.605018760502,-80.096694209669
"Tee","12","0",32.60579816058,-80.094991409499
"Pin","13","0",32.603425760343,-80.101511910151
"Target","13","1",32.60449676045,-80.099452709945
"Target","13","2",32.603421260342,-80.100929610093
"Tee","13","0",32.604583160458,-80.096916509692
"Pin","14","0",32.608376660838,-80.102377710238
"Target","14","1",32.607139160714,-80.101844910184
"Tee","14","0",32.604840560484,-80.102388510239
"Pin","15","0",32.604836060484,-80.1030032103
"Target","15","1",32.605988060599,-80.102842110284
"Tee","15","0",32.608290260829,-80.102850210285
"Pin","16","0",32.608150760815,-80.103571110357
"Target","16","1",32.606211260621,-80.10380061038
"Target","16","2",32.60789696079,-80.103775410378
"Tee","16","0",32.603891060389,-80.10419931042
"Pin","17","0",32.609788760979,-80.103753810375
"Tee","17","0",32.608276760828,-80.10409941041
"Pin","18","0",32.612052261205,-80.100267210027
"Target","18","1",32.611071261107,-80.101134810113
"Tee","18","0",32.610107361011,-80.103671010367
