"type","hole","numPoint","lat","lon"
"Pin","1","0",56.013605301361,-2.873949587395
"Tee","1","0",56.012337201234,-2.8742069874207
"Pin","2","0",56.011880901188,-2.8806491880649
"Target","2","1",56.012546901255,-2.8774379877438
"Target","2","2",56.012035701204,-2.8800011880001
"Tee","2","0",56.013887001389,-2.8740890874089
"Pin","3","0",56.011626201163,-2.8859816885982
"Target","3","1",56.011894401189,-2.8841546884155
"Tee","3","0",56.012274201227,-2.8800920880092
"Pin","4","0",56.009946800995,-2.8903484890348
"Target","4","1",56.010274401027,-2.8890866889087
"Tee","4","0",56.011758501176,-2.8861319886132
"Pin","5","0",56.010882801088,-2.8858637885864
"Target","5","1",56.010456201046,-2.8869914886991
"Tee","5","0",56.009737100974,-2.8895546889555
"Pin","6","0",56.009433800943,-2.8885349888535
"Target","6","1",56.009858600986,-2.8874855887486
"Tee","6","0",56.010855801086,-2.8853327885333
"Pin","7","0",56.00659700066,-2.8876016887602
"Target","7","1",56.007428600743,-2.8882793888279
"Tee","7","0",56.009526500953,-2.8890182889018
"Pin","8","0",56.005895000589,-2.8898390889839
"Tee","8","0",56.007112700711,-2.8887770888777
"Pin","9","0",56.007164000716,-2.8850105885011
"Target","9","1",56.006841800684,-2.8859645885965
"Tee","9","0",56.005229000523,-2.887730388773
"Pin","10","0",56.008039700804,-2.8868726886873
"Tee","10","0",56.007337700734,-2.8850321885032
"Pin","11","0",56.009023400902,-2.8883315888332
"Target","11","1",56.008540100854,-2.8878842887884
"Tee","11","0",56.006836400684,-2.8865936886594
"Pin","12","0",56.010567801057,-2.8849916884992
"Target","12","1",56.010275301028,-2.8855307885531
"Tee","12","0",56.009176400918,-2.8881011888101
"Pin","13","0",56.010534501053,-2.8826669882667
"Tee","13","0",56.010771201077,-2.8852949885295
"Pin","14","0",56.011106901111,-2.8861805886181
"Target","14","1",56.01109970111,-2.8852589885259
"Tee","14","0",56.010942201094,-2.8812233881223
"Pin","15","0",56.01130490113,-2.8798769879877
"Target","15","1",56.011419201142,-2.882119788212
"Tee","15","0",56.01130490113,-2.8862336886234
"Pin","16","0",56.012948301295,-2.8751726875173
"Target","16","1",56.012337201234,-2.8766657876666
"Tee","16","0",56.011583901158,-2.8805582880558
"Pin","17","0",56.011347201135,-2.8776881877688
"Target","17","1",56.011763001176,-2.8769465876947
"Tee","17","0",56.012831301283,-2.8746146874615
"Pin","18","0",56.01220220122,-2.8744859874486
"Target","18","1",56.011988901199,-2.8751078875108
"Tee","18","0",56.011146501115,-2.8776350877635
