"type","hole","numPoint","lat","lon"
"Pin","1","0",56.301717830172,-2.6465843646584
"Target","1","1",56.300647730065,-2.6470316647032
"Tee","1","0",56.298350929835,-2.6467283646728
"Pin","2","0",56.304027230403,-2.6470991647099
"Tee","2","0",56.302544930254,-2.6460524646052
"Pin","3","0",56.306940530694,-2.6532569653257
"Target","3","1",56.305575230558,-2.6508044650804
"Target","3","2",56.306647130665,-2.6528537652854
"Tee","3","0",56.304587030459,-2.6470559647056
"Pin","4","0",56.304642830464,-2.6499044649904
"Target","4","1",56.304928130493,-2.6518718651872
"Tee","4","0",56.306744330674,-2.6541749654175
"Pin","5","0",56.302521530252,-2.6470343647034
"Target","5","1",56.303423330342,-2.647569864757
"Tee","5","0",56.304509630451,-2.6512292651229
"Pin","6","0",56.299589329959,-2.6433866643387
"Target","6","1",56.300275130028,-2.6440661644066
"Tee","6","0",56.302062530206,-2.6451785645179
"Pin","7","0",56.297038729704,-2.6391485639149
"Target","7","1",56.297829829783,-2.6415317641532
"Tee","7","0",56.299607329961,-2.644169664417
"Pin","8","0",56.296684129668,-2.6358761635876
"Tee","8","0",56.296892929689,-2.6383016638302
"Pin","9","0",56.297958529796,-2.6447384644738
"Target","9","1",56.297046829705,-2.6412752641275
"Target","9","2",56.297922529792,-2.6435171643517
"Tee","9","0",56.296487929649,-2.637249563725
"Pin","10","0",56.296410529641,-2.641750464175
"Target","10","1",56.296763329676,-2.643230064323
"Tee","10","0",56.297860429786,-2.6468786646879
"Pin","11","0",56.296064929606,-2.6365844636584
"Target","11","1",56.295864229586,-2.6392178639218
"Tee","11","0",56.295928129593,-2.6433650643365
"Pin","12","0",56.292177829218,-2.6284088628409
"Target","12","1",56.29339912934,-2.6322725632273
"Target","12","2",56.292276829228,-2.6301062630106
"Tee","12","0",56.295252229525,-2.6347340634734
"Pin","13","0",56.292275929228,-2.6318207631821
"Tee","13","0",56.29180252918,-2.6297660629766
"Pin","14","0",56.295074029507,-2.6353343635334
"Target","14","1",56.294225329423,-2.6348258634826
"Tee","14","0",56.292320029232,-2.6330762633076
"Pin","15","0",56.297083729708,-2.6349644634964
"Tee","15","0",56.295463729546,-2.6339663633966
"Pin","16","0",56.299178929918,-2.6426360642636
"Target","16","1",56.297643529764,-2.6394437639444
"Target","16","2",56.298926929893,-2.6421446642145
"Tee","16","0",56.297229529723,-2.6353613635361
"Pin","17","0",56.302387430239,-2.6444378644438
"Target","17","1",56.300861930086,-2.6437772643777
"Tee","17","0",56.299146529915,-2.6410106641011
"Pin","18","0",56.298630829863,-2.6444540644454
"Target","18","1",56.299752229975,-2.6458265645827
"Tee","18","0",56.302054430205,-2.6457581645758
