"type","hole","numPoint","lat","lon"
"Pin","1","0",51.265120226512,0.40850824085082
"Target","1","1",51.26629742663,0.40667674066767
"Target","1","2",51.265249826525,0.40815544081554
"Tee","1","0",51.268440326844,0.40533034053303
"Pin","2","0",51.263480426348,0.40371844037184
"Target","2","1",51.263840426384,0.40554724055472
"Tee","2","0",51.264778226478,0.40890784089078
"Pin","3","0",51.260406026041,0.39966483996648
"Target","3","1",51.261254726125,0.4003110400311
"Tee","3","0",51.262663226266,0.40261324026132
"Pin","4","0",51.261642626164,0.39543573954357
"Target","4","1",51.261081926108,0.39700443970044
"Tee","4","0",51.260033426003,0.39959823995982
"Pin","5","0",51.261805526181,0.39988263998826
"Target","5","1",51.261521126152,0.39912663991266
"Tee","5","0",51.262086326209,0.39569583956958
"Pin","6","0",51.262748726275,0.40198774019877
"Tee","6","0",51.262055726206,0.40015084001508
"Pin","7","0",51.264336326434,0.40555534055553
"Target","7","1",51.264233726423,0.40478764047876
"Tee","7","0",51.263745926375,0.40166374016637
"Pin","8","0",51.264836726484,0.40678654067865
"Tee","8","0",51.264526226453,0.40456534045653
"Pin","9","0",51.268322426832,0.4043160404316
"Target","9","1",51.266562026656,0.40503244050324
"Target","9","2",51.268043426804,0.40447984044798
"Tee","9","0",51.264772826477,0.40734994073499
"Pin","10","0",51.26650172665,0.39795933979593
"Target","10","1",51.268334126833,0.40023454002345
"Target","10","2",51.26690042669,0.39816453981645
"Tee","10","0",51.269030726903,0.4033260403326
"Pin","11","0",51.26420042642,0.39464643946464
"Tee","11","0",51.265286726529,0.39645723964572
"Pin","12","0",51.26250212625,0.40024444002444
"Target","12","1",51.262523726252,0.39731763973176
"Target","12","2",51.262353626235,0.39973413997341
"Tee","12","0",51.262987226299,0.39371313937131
"Pin","13","0",51.263385026338,0.39390123939012
"Target","13","1",51.263249126325,0.39543753954375
"Tee","13","0",51.262880126288,0.39906993990699
"Pin","14","0",51.263282426328,0.39911763991176
"Target","14","1",51.263730626373,0.39734643973464
"Tee","14","0",51.263776526378,0.39406233940623
"Pin","15","0",51.264237326424,0.40228834022883
"Target","15","1",51.263972726397,0.40081864008186
"Tee","15","0",51.26390162639,0.3980610398061
"Pin","16","0",51.264494726449,0.39614583961458
"Target","16","1",51.264368726437,0.39782073978207
"Tee","16","0",51.264481226448,0.40129834012983
"Pin","17","0",51.265578326558,0.39889533988953
"Tee","17","0",51.264756626476,0.39733743973374
"Pin","18","0",51.268281026828,0.40379314037931
"Target","18","1",51.267912926791,0.40172314017231
"Tee","18","0",51.26639912664,0.39886293988629
