"type","hole","numPoint","lat","lon"
"Pin","1","0",41.632037663204,-81.382673738267
"Target","1","1",41.632673963267,-81.381322838132
"Tee","1","0",41.632425563243,-81.378481537848
"Pin","2","0",41.634745763475,-81.379592137959
"Target","2","1",41.634128363413,-81.381491138149
"Tee","2","0",41.632142063214,-81.383049038305
"Pin","3","0",41.635080563508,-81.377215237722
"Tee","3","0",41.635049063505,-81.379044937904
"Pin","4","0",41.635040963504,-81.372330937233
"Target","4","1",41.635022063502,-81.373763737376
"Tee","4","0",41.63459996346,-81.376792237679
"Pin","5","0",41.633757563376,-81.376445737645
"Target","5","1",41.634180563418,-81.375150637515
"Tee","5","0",41.634653963465,-81.372192337219
"Pin","6","0",41.634660263466,-81.378522037852
"Tee","6","0",41.633533463353,-81.376891237689
"Pin","7","0",41.635024763502,-81.383283038328
"Target","7","1",41.635083263508,-81.382037438204
"Tee","7","0",41.635191263519,-81.379125037913
"Pin","8","0",41.630783063078,-81.383625938363
"Target","8","1",41.632754963276,-81.383543138354
"Target","8","2",41.631110663111,-81.383570138357
"Tee","8","0",41.635052663505,-81.383746538375
"Pin","9","0",41.630945063095,-81.378891937889
"Target","9","1",41.630924363092,-81.380517338052
"Tee","9","0",41.630513963051,-81.383548538355
"Pin","10","0",41.626179562618,-81.381810638181
"Target","10","1",41.627952562795,-81.381186938119
"Target","10","2",41.626422562642,-81.381826838183
"Tee","10","0",41.63029796303,-81.380606438061
"Pin","11","0",41.624350762435,-81.382161638216
"Tee","11","0",41.626022962602,-81.381123938112
"Pin","12","0",41.627982262798,-81.37969653797
"Target","12","1",41.626760062676,-81.380258138026
"Tee","12","0",41.624489362449,-81.381034838103
"Pin","13","0",41.625594562559,-81.376974037697
"Target","13","1",41.62619486262,-81.377538337754
"Tee","13","0",41.628122662812,-81.379119637912
"Pin","14","0",41.628573562857,-81.375378337538
"Target","14","1",41.627470162747,-81.376167637617
"Tee","14","0",41.625265162527,-81.376521337652
"Pin","15","0",41.63029976303,-81.371523637152
"Target","15","1",41.629843462984,-81.374281237428
"Target","15","2",41.630307863031,-81.372056437206
"Tee","15","0",41.62850336285,-81.376786837679
"Pin","16","0",41.63209976321,-81.374225437423
"Target","16","1",41.631543563154,-81.373878037388
"Tee","16","0",41.630487863049,-81.37120233712
"Pin","17","0",41.632043963204,-81.371374237137
"Tee","17","0",41.63219606322,-81.373441537344
"Pin","18","0",41.632529063253,-81.375968737597
"Target","18","1",41.633504663351,-81.374661037466
"Tee","18","0",41.63360366336,-81.371583037158
