"type","hole","numPoint","lat","lon"
"Pin","1","0",55.814142781414,21.179768717977
"Target","1","1",55.812052081205,21.179178317918
"Target","1","2",55.813434481343,21.180121518012
"Tee","1","0",55.810022581002,21.177244217724
"Pin","2","0",55.811852281185,21.1820025182
"Target","2","1",55.812386881239,21.180950418095
"Tee","2","0",55.814680981468,21.18060031806
"Pin","3","0",55.816112881611,21.181276218128
"Target","3","1",55.814205781421,21.181993518199
"Target","3","2",55.815546781555,21.181066518107
"Tee","3","0",55.812034081203,21.182332818233
"Pin","4","0",55.814813281481,21.182775618278
"Target","4","1",55.816165081617,21.182992518299
"Tee","4","0",55.81720098172,21.180176418018
"Pin","5","0",55.815743881574,21.185765418577
"Tee","5","0",55.814448781445,21.183282318328
"Pin","6","0",55.811316781132,21.182565918257
"Target","6","1",55.812371581237,21.184280418428
"Tee","6","0",55.814660281466,21.184741218474
"Pin","7","0",55.808079480808,21.180508518051
"Target","7","1",55.809358380936,21.181686618169
"Tee","7","0",55.81130238113,21.183882618388
"Pin","8","0",55.807433280743,21.181189818119
"Tee","8","0",55.808582580858,21.182434518243
"Pin","9","0",55.809158580916,21.174884417488
"Target","9","1",55.807164180716,21.175992317599
"Target","9","2",55.808605980861,21.17540011754
"Tee","9","0",55.806777180678,21.180031518003
"Pin","10","0",55.807827480783,21.180229518023
"Target","10","1",55.807876080788,21.177238817724
"Target","10","2",55.807662780766,21.179623817962
"Tee","10","0",55.809886680989,21.175243517524
"Pin","11","0",55.805894280589,21.182120418212
"Tee","11","0",55.807239780724,21.180484218048
"Pin","12","0",55.802565180257,21.181621818162
"Target","12","1",55.804286880429,21.181359018136
"Target","12","2",55.802891880289,21.18149761815
"Tee","12","0",55.806371280637,21.18309961831
"Pin","13","0",55.801528380153,21.18379981838
"Tee","13","0",55.802067480207,21.181334718133
"Pin","14","0",55.805152680515,21.180959418096
"Target","14","1",55.804508280451,21.180714618071
"Tee","14","0",55.802330280233,21.180589518059
"Pin","15","0",55.803411180341,21.179154017915
"Tee","15","0",55.804392180439,21.179955917996
"Pin","16","0",55.806355080636,21.18050041805
"Target","16","1",55.805645880565,21.179728217973
"Tee","16","0",55.803556080356,21.17839531784
"Pin","17","0",55.806145380615,21.174069017407
"Target","17","1",55.806370380637,21.175740317574
"Tee","17","0",55.80660258066,21.179816417982
"Pin","18","0",55.808385480839,21.174551417455
"Target","18","1",55.80780228078,21.174253517425
"Tee","18","0",55.806176880618,21.173454317345
