"type","hole","numPoint","lat","lon"
"Pin","1","0",41.050549405055,-73.807283880728
"Target","1","1",41.050639405064,-73.806278580628
"Tee","1","0",41.050547605055,-73.803282480328
"Pin","2","0",41.05320350532,-73.805964480596
"Target","2","1",41.051874205187,-73.805521680552
"Tee","2","0",41.050857205086,-73.807570980757
"Pin","3","0",41.054051305405,-73.805293980529
"Tee","3","0",41.053266505327,-73.806184080618
"Pin","4","0",41.051024605102,-73.804535280454
"Target","4","1",41.051957905196,-73.80469548047
"Tee","4","0",41.054234905423,-73.805149080515
"Pin","5","0",41.055068305507,-73.804588380459
"Target","5","1",41.05309640531,-73.803965580397
"Target","5","2",41.05470290547,-73.804639680464
"Tee","5","0",41.050820305082,-73.80349668035
"Pin","6","0",41.058860905886,-73.80490248049
"Target","6","1",41.057672905767,-73.805281380528
"Tee","6","0",41.055379705538,-73.805009580501
"Pin","7","0",41.056160905616,-73.804309380431
"Target","7","1",41.056993405699,-73.804457880446
"Tee","7","0",41.059289305929,-73.804690980469
"Pin","8","0",41.054750605475,-73.803622680362
"Tee","8","0",41.056117705612,-73.804757580476
"Pin","9","0",41.056789105679,-73.800237780024
"Target","9","1",41.055124105512,-73.801489680149
"Target","9","2",41.05649930565,-73.80039708004
"Tee","9","0",41.053120705312,-73.8029953803
"Pin","10","0",41.059928305993,-73.800361080036
"Target","10","1",41.059149805915,-73.800683280068
"Tee","10","0",41.056894405689,-73.80090018009
"Pin","11","0",41.05830020583,-73.801605780161
"Tee","11","0",41.059981405998,-73.801018980102
"Pin","12","0",41.060844506084,-73.801780380178
"Target","12","1",41.060267606027,-73.801667880167
"Tee","12","0",41.058178705818,-73.801911780191
"Pin","13","0",41.059578205958,-73.799229779923
"Target","13","1",41.060539406054,-73.799617679962
"Tee","13","0",41.061111806111,-73.802008080201
"Pin","14","0",41.057139205714,-73.799060579906
"Target","14","1",41.057437105744,-73.799588879959
"Tee","14","0",41.059346005935,-73.799186579919
"Pin","15","0",41.0540000054,-73.7989984799
"Target","15","1",41.05489550549,-73.79850167985
"Tee","15","0",41.057025805703,-73.799331479933
"Pin","16","0",41.052406105241,-73.800551880055
"Tee","16","0",41.05360400536,-73.799173079917
"Pin","17","0",41.056853905685,-73.799634779964
"Target","17","1",41.054823505482,-73.799182979918
"Target","17","2",41.056533505653,-73.79949977995
"Tee","17","0",41.05279850528,-73.800637380064
"Pin","18","0",41.053284505328,-73.801865880187
"Target","18","1",41.054322205432,-73.800334080033
"Tee","18","0",41.056607305661,-73.799961479996
