"type","hole","numPoint","lat","lon"
"Pin","1","0",3.1357893135789,101.6370317637
"Target","1","1",3.1361475136148,101.63824316382
"Tee","1","0",3.1375245137525,101.63982716398
"Pin","2","0",3.1395414139541,101.63650886365
"Target","2","1",3.1382247138225,101.63640896364
"Tee","2","0",3.1358937135894,101.63665376367
"Pin","3","0",3.1439847143985,101.63420756342
"Target","3","1",3.1420551142055,101.63517056352
"Target","3","2",3.1433745143375,101.63441186344
"Tee","3","0",3.1402029140203,101.6359643636
"Pin","4","0",3.1453554145355,101.63434706343
"Tee","4","0",3.1442439144244,101.6340491634
"Pin","5","0",3.1454328145433,101.63830616383
"Target","5","1",3.1454967145497,101.63620466362
"Target","5","2",3.1454481145448,101.63756276376
"Tee","5","0",3.1457091145709,101.63407346341
"Pin","6","0",3.1450908145091,101.63484296348
"Target","6","1",3.1449090144909,101.6360318636
"Tee","6","0",3.1450341145034,101.63825216383
"Pin","7","0",3.1445571144557,101.63755736376
"Target","7","1",3.1443249144325,101.63639546364
"Tee","7","0",3.1444932144493,101.63438486344
"Pin","8","0",3.1434888143489,101.63792546379
"Tee","8","0",3.1450584145058,101.63840246384
"Pin","9","0",3.1400364140036,101.63937626394
"Target","9","1",3.1409679140968,101.6389865639
"Tee","9","0",3.1430847143085,101.63807846381
"Pin","10","0",3.1436013143601,101.63727566373
"Target","10","1",3.1414917141492,101.63805956381
"Target","10","2",3.1430442143044,101.63751686375
"Tee","10","0",3.1395333139533,101.6390171639
"Pin","11","0",3.143919914392,101.63529656353
"Tee","11","0",3.1440351144035,101.63714696371
"Pin","12","0",3.1408428140843,101.63641526364
"Target","12","1",3.142270214227,101.63567186357
"Tee","12","0",3.1442871144287,101.63455946346
"Pin","13","0",3.1369458136946,101.63713706371
"Target","13","1",3.1383750138375,101.63713076371
"Tee","13","0",3.1407033140703,101.63686616369
"Pin","14","0",3.1378485137849,101.63926106393
"Target","14","1",3.1372239137224,101.63859146386
"Tee","14","0",3.136250113625,101.63682566368
"Pin","15","0",3.1375938137594,101.63780216378
"Tee","15","0",3.1382634138263,101.63930966393
"Pin","16","0",3.1403928140393,101.63712896371
"Target","16","1",3.1397106139711,101.63775086378
"Tee","16","0",3.1379079137908,101.63760326376
"Pin","17","0",3.143309714331,101.63635046364
"Target","17","1",3.1427616142762,101.63616236362
"Tee","17","0",3.1407762140776,101.63715776372
"Pin","18","0",3.1386738138674,101.63874356387
"Target","18","1",3.1413279141328,101.63751596375
"Target","18","2",3.1395252139525,101.63832236383
"Tee","18","0",3.1435050143505,101.63676626368
