"type","hole","numPoint","lat","lon"
"Pin","1","0",56.28460162846,-3.1199025119903
"Target","1","1",56.284112028411,-3.121290312129
"Tee","1","0",56.282480328248,-3.1237788123779
"Pin","2","0",56.287432128743,-3.1151010115101
"Target","2","1",56.285641128564,-3.1175814117581
"Target","2","2",56.286888528689,-3.1153242115324
"Tee","2","0",56.283825828383,-3.120369612037
"Pin","3","0",56.289931428993,-3.1170027117003
"Target","3","1",56.288939628894,-3.1167750116775
"Tee","3","0",56.287613028761,-3.1139454113945
"Pin","4","0",56.289980028998,-3.1196046119605
"Tee","4","0",56.290427329043,-3.1173546117355
"Pin","5","0",56.288085528809,-3.1217241121724
"Target","5","1",56.288770428877,-3.1210410121041
"Tee","5","0",56.290664929067,-3.1198062119806
"Pin","6","0",56.290014229001,-3.1179630117963
"Target","6","1",56.28959662896,-3.1192032119203
"Tee","6","0",56.287768728777,-3.1216008121601
"Pin","7","0",56.286191928619,-3.1213884121388
"Target","7","1",56.288275428828,-3.1196154119615
"Target","7","2",56.286639228664,-3.1206108120611
"Tee","7","0",56.289993528999,-3.1174509117451
"Pin","8","0",56.285085828509,-3.1202031120203
"Tee","8","0",56.286335928634,-3.1197711119771
"Pin","9","0",56.28310222831,-3.1236870123687
"Target","9","1",56.284090428409,-3.1230822123082
"Tee","9","0",56.28570232857,-3.1204389120439
"Pin","10","0",56.284976928498,-3.1237059123706
"Tee","10","0",56.283593628359,-3.1239957123996
"Pin","11","0",56.287776828778,-3.1208574120857
"Target","11","1",56.286987528699,-3.1220922122092
"Tee","11","0",56.285033628503,-3.1242855124286
"Pin","12","0",56.286317028632,-3.1243332124333
"Tee","12","0",56.287566228757,-3.1222038122204
"Pin","13","0",56.290186129019,-3.1212327121233
"Target","13","1",56.288068428807,-3.1226637122664
"Target","13","2",56.289608328961,-3.1216233121623
"Tee","13","0",56.286465528647,-3.1249830124983
"Pin","14","0",56.287759728776,-3.1252593125259
"Target","14","1",56.288852328885,-3.1236105123611
"Tee","14","0",56.290769329077,-3.1211823121182
"Pin","15","0",56.290678429068,-3.1227132122713
"Target","15","1",56.290089829009,-3.1240686124069
"Tee","15","0",56.288069328807,-3.1257255125726
"Pin","16","0",56.288882028888,-3.1261494126149
"Target","16","1",56.290293229029,-3.1252926125293
"Tee","16","0",56.290965529097,-3.1225071122507
"Pin","17","0",56.285843628584,-3.1254681125468
"Target","17","1",56.286948828695,-3.1256355125636
"Tee","17","0",56.289191628919,-3.1265787126579
"Pin","18","0",56.282666628267,-3.1242612124261
"Target","18","1",56.283908628391,-3.1248570124857
"Tee","18","0",56.286206328621,-3.1251063125106
