"type","hole","numPoint","lat","lon"
"Pin","1","0",35.719962271996,-106.05424120542
"Target","1","1",35.719869571987,-106.05537520554
"Tee","1","0",35.718569071857,-106.05746500575
"Pin","2","0",35.719466371947,-106.04966020497
"Target","2","1",35.720936072094,-106.05174910517
"Target","2","2",35.719950571995,-106.05032170503
"Tee","2","0",35.720914472091,-106.05458500546
"Pin","3","0",35.719478971948,-106.0449559045
"Target","3","1",35.719354771935,-106.04665240467
"Tee","3","0",35.720041472004,-106.04935960494
"Pin","4","0",35.719165771917,-106.04262490426
"Tee","4","0",35.718713071871,-106.04435200444
"Pin","5","0",35.715883471588,-106.04188420419
"Target","5","1",35.717317171732,-106.04075020407
"Tee","5","0",35.719507771951,-106.04177710418
"Pin","6","0",35.713151071315,-106.04724370472
"Target","6","1",35.713613671361,-106.04416570442
"Target","6","2",35.713043971304,-106.04622670462
"Tee","6","0",35.715149971515,-106.04205340421
"Pin","7","0",35.715757471576,-106.05045400505
"Target","7","1",35.71579887158,-106.04850820485
"Tee","7","0",35.713952071395,-106.04681440468
"Pin","8","0",35.715918571592,-106.05242050524
"Tee","8","0",35.716476571648,-106.05034960503
"Pin","9","0",35.718259471826,-106.05614290561
"Target","9","1",35.718249571825,-106.0550044055
"Tee","9","0",35.716959871696,-106.05284080528
"Pin","10","0",35.714361571436,-106.05286510529
"Target","10","1",35.715941071594,-106.05440950544
"Target","10","2",35.714705371471,-106.0529983053
"Tee","10","0",35.717610571761,-106.05636340564
"Pin","11","0",35.710892071089,-106.05510520551
"Target","11","1",35.711580571158,-106.05387580539
"Tee","11","0",35.713272571327,-106.0519534052
"Pin","12","0",35.711451871145,-106.05809320581
"Tee","12","0",35.710946971095,-106.05566590557
"Pin","13","0",35.711151271115,-106.06357240636
"Target","13","1",35.711007271101,-106.06179940618
"Tee","13","0",35.711508571151,-106.0590319059
"Pin","14","0",35.708511570851,-106.06343830634
"Target","14","1",35.709382770938,-106.06320970632
"Tee","14","0",35.711445571145,-106.06435090644
"Pin","15","0",35.711371771137,-106.07006140701
"Target","15","1",35.71020447102,-106.06667470667
"Target","15","2",35.710773271077,-106.06894900689
"Tee","15","0",35.708825670883,-106.06427800643
"Pin","16","0",35.714143771414,-106.06856740686
"Tee","16","0",35.712747871275,-106.07005600701
"Pin","17","0",35.71610127161,-106.06565410657
"Target","17","1",35.714985271499,-106.06647670665
"Tee","17","0",35.713294171329,-106.06847560685
"Pin","18","0",35.717972371797,-106.05981490598
"Target","18","1",35.717456671746,-106.06133140613
"Tee","18","0",35.716874371687,-106.06412770641
