"type","hole","numPoint","lat","lon"
"Pin","1","0",35.722456172246,-106.06354900635
"Target","1","1",35.721537272154,-106.06213240621
"Tee","1","0",35.720228672023,-106.05979870598
"Pin","2","0",35.723422772342,-106.06890490689
"Target","2","1",35.722416572242,-106.06731910673
"Tee","2","0",35.722652372265,-106.06444720644
"Pin","3","0",35.723870972387,-106.07126830713
"Tee","3","0",35.723462372346,-106.06954840695
"Pin","4","0",35.719627471963,-106.07438500744
"Target","4","1",35.720988272099,-106.07350930735
"Tee","4","0",35.722882772288,-106.07181010718
"Pin","5","0",35.714542471454,-106.0759564076
"Target","5","1",35.716972471697,-106.07553700755
"Target","5","2",35.715492871549,-106.07548120755
"Tee","5","0",35.718791371879,-106.07379730738
"Pin","6","0",35.713152871315,-106.07373340737
"Tee","6","0",35.71439667144,-106.07541190754
"Pin","7","0",35.710646371065,-106.06980580698
"Target","7","1",35.711353771135,-106.0709956071
"Tee","7","0",35.712549871255,-106.07347780735
"Pin","8","0",35.707227270723,-106.06571350657
"Target","8","1",35.708168670817,-106.06832620683
"Target","8","2",35.707528770753,-106.06629670663
"Tee","8","0",35.710163071016,-106.06952950695
"Pin","9","0",35.704339170434,-106.06518250652
"Target","9","1",35.705437170544,-106.06543180654
"Tee","9","0",35.707721370772,-106.06507720651
"Pin","10","0",35.704153770415,-106.07235730724
"Target","10","1",35.703509370351,-106.06912990691
"Target","10","2",35.704445370445,-106.07127010713
"Tee","10","0",35.703737970374,-106.06625800663
"Pin","11","0",35.704822470482,-106.07365510737
"Tee","11","0",35.703456270346,-106.07273260727
"Pin","12","0",35.705275170528,-106.07862490786
"Target","12","1",35.704636170464,-106.07612380761
"Target","12","2",35.704911570491,-106.07822350782
"Tee","12","0",35.703917970392,-106.07343010734
"Pin","13","0",35.706382170638,-106.07521930752
"Tee","13","0",35.706006870601,-106.07716060772
"Pin","14","0",35.710451971045,-106.07589520759
"Target","14","1",35.709674370967,-106.0759681076
"Tee","14","0",35.707418070742,-106.07539840754
"Pin","15","0",35.711819971182,-106.07359930736
"Tee","15","0",35.710787671079,-106.07540920754
"Pin","16","0",35.715380371538,-106.06918120692
"Target","16","1",35.714066371407,-106.06990570699
"Tee","16","0",35.712913471291,-106.07253370725
"Pin","17","0",35.718765271877,-106.06584220658
"Target","17","1",35.716464871647,-106.06639480664
"Target","17","2",35.71819917182,-106.06546690655
"Tee","17","0",35.714642371464,-106.06821010682
"Pin","18","0",35.718470971847,-106.05974560597
"Target","18","1",35.718374671837,-106.06155460616
"Tee","18","0",35.717294671729,-106.06411690641
