"type","hole","numPoint","lat","lon"
"Pin","1","0",40.548592354859,-75.517176051718
"Target","1","1",40.549581454958,-75.516569451657
"Tee","1","0",40.551013355101,-75.51419615142
"Pin","2","0",40.54890015489,-75.51319895132
"Target","2","1",40.548649054865,-75.513913551391
"Tee","2","0",40.547459254746,-75.516444351644
"Pin","3","0",40.550094455009,-75.510857151086
"Tee","3","0",40.548953254895,-75.512632851263
"Pin","4","0",40.547432254743,-75.509926550993
"Target","4","1",40.547929054793,-75.509526050953
"Tee","4","0",40.550133155013,-75.509172350917
"Pin","5","0",40.544746654475,-75.506925050693
"Target","5","1",40.545622354562,-75.507262550726
"Tee","5","0",40.547030854703,-75.509521550952
"Pin","6","0",40.548039754804,-75.503770550377
"Target","6","1",40.546773454677,-75.506019650602
"Target","6","2",40.547813854781,-75.504138650414
"Tee","6","0",40.544542354454,-75.50650385065
"Pin","7","0",40.550934155093,-75.504782150478
"Tee","7","0",40.54939695494,-75.503542850354
"Pin","8","0",40.553051855305,-75.507992450799
"Target","8","1",40.55279805528,-75.506957450696
"Tee","8","0",40.55140485514,-75.504612950461
"Pin","9","0",40.550968355097,-75.512388951239
"Target","9","1",40.551583955158,-75.511226151123
"Tee","9","0",40.55280255528,-75.508654850865
"Pin","10","0",40.552386755239,-75.508051850805
"Target","10","1",40.551639755164,-75.509214650921
"Tee","10","0",40.550658755066,-75.511956951196
"Pin","11","0",40.548379954838,-75.508528850853
"Target","11","1",40.550269055027,-75.508530650853
"Target","11","2",40.549077454908,-75.508581950858
"Tee","11","0",40.552205855221,-75.50710235071
"Pin","12","0",40.549810954981,-75.504760550476
"Target","12","1",40.549211554921,-75.505855850586
"Tee","12","0",40.548039754804,-75.508464950847
"Pin","13","0",40.549433854943,-75.506705450671
"Tee","13","0",40.550212355021,-75.504980150498
"Pin","14","0",40.551916055192,-75.506511950651
"Target","14","1",40.551254555125,-75.506809850681
"Tee","14","0",40.549050454905,-75.507477650748
"Pin","15","0",40.550566955057,-75.510632151063
"Target","15","1",40.550782055078,-75.509119250912
"Tee","15","0",40.552122155212,-75.507439850744
"Pin","16","0",40.549474354947,-75.512673351267
"Tee","16","0",40.550583155058,-75.511476351148
"Pin","17","0",40.547870554787,-75.516639651664
"Target","17","1",40.548582454858,-75.515556051556
"Tee","17","0",40.549828954983,-75.513008151301
"Pin","18","0",40.550357255036,-75.513638151364
"Target","18","1",40.549681354968,-75.515046651505
"Tee","18","0",40.548021754802,-75.517147251715
