"type","hole","numPoint","lat","lon"
"Pin","1","0",-27.876676587668,153.35372613537
"Target","1","1",-27.876158187616,153.35314563531
"Tee","1","0",-27.87520418752,153.35077593508
"Pin","2","0",-27.879578187958,153.35775453578
"Target","2","1",-27.878330787833,153.35559093556
"Target","2","2",-27.879336087934,153.35729193573
"Tee","2","0",-27.876411087641,153.35415273542
"Pin","3","0",-27.87649658765,153.35839533584
"Tee","3","0",-27.878208387821,153.35836653584
"Pin","4","0",-27.873361887336,153.3549573355
"Target","4","1",-27.874285287429,153.35629923563
"Tee","4","0",-27.875481387548,153.35852403585
"Pin","5","0",-27.873994587399,153.35411493541
"Tee","5","0",-27.872636487264,153.35418153542
"Pin","6","0",-27.875777487578,153.3580011358
"Target","6","1",-27.875349087535,153.3569913357
"Tee","6","0",-27.874094487409,153.35480703548
"Pin","7","0",-27.878869887887,153.35911713591
"Target","7","1",-27.877959987796,153.3590334359
"Tee","7","0",-27.875739687574,153.35907663591
"Pin","8","0",-27.877509087751,153.35383593538
"Target","8","1",-27.879131787913,153.35554053555
"Target","8","2",-27.878194887819,153.35412573541
"Tee","8","0",-27.880230688023,153.35783013578
"Pin","9","0",-27.87579728758,153.35080203508
"Target","9","1",-27.876513687651,153.3520260352
"Tee","9","0",-27.878184087818,153.35353533535
"Pin","10","0",-27.878473887847,153.3470121347
"Target","10","1",-27.878057187806,153.34824513482
"Tee","10","0",-27.876145587615,153.34942863494
"Pin","11","0",-27.880249588025,153.34254363425
"Target","11","1",-27.878643987864,153.34430763443
"Target","11","2",-27.879827487983,153.34282173428
"Tee","11","0",-27.877923987792,153.34678173468
"Pin","12","0",-27.881038888104,153.33856923386
"Target","12","1",-27.880830088083,153.33945663395
"Tee","12","0",-27.88080398808,153.34206123421
"Pin","13","0",-27.877461387746,153.34049703405
"Target","13","1",-27.878818587882,153.34059243406
"Tee","13","0",-27.880538488054,153.33886083389
"Pin","14","0",-27.879525987953,153.3389715339
"Tee","14","0",-27.878034687803,153.33990213399
"Pin","15","0",-27.874616487462,153.33769173377
"Target","15","1",-27.876074487607,153.33774123377
"Tee","15","0",-27.877959087796,153.33650373365
"Pin","16","0",-27.874525587453,153.34062573406
"Target","16","1",-27.874806387481,153.339983134
"Tee","16","0",-27.873945087395,153.33776913378
"Pin","17","0",-27.877411887741,153.34369473437
"Tee","17","0",-27.875920587592,153.34211163421
"Pin","18","0",-27.876212187621,153.34842873484
"Target","18","1",-27.877370487737,153.34641273464
"Target","18","2",-27.876609087661,153.34826943483
"Tee","18","0",-27.8779968878,153.34390623439
