"type","hole","numPoint","lat","lon"
"Pin","1","0",42.979122697912,-81.340139734014
"Target","1","1",42.978129097813,-81.34060323406
"Tee","1","0",42.97589709759,-81.341376334138
"Pin","2","0",42.980307998031,-81.339466533947
"Tee","2","0",42.979089397909,-81.341121634112
"Pin","3","0",42.978422497842,-81.335477733548
"Target","3","1",42.978987697899,-81.336481233648
"Tee","3","0",42.979061497906,-81.339627633963
"Pin","4","0",42.979770697977,-81.339237933924
"Target","4","1",42.979654597965,-81.336850233685
"Target","4","2",42.979868797987,-81.33879513388
"Tee","4","0",42.978590797859,-81.334059333406
"Pin","5","0",42.97960149796,-81.335190633519
"Target","5","1",42.980706698071,-81.336682833668
"Tee","5","0",42.980721998072,-81.339493533949
"Pin","6","0",42.982831598283,-81.33640023364
"Target","6","1",42.981454598145,-81.336027633603
"Tee","6","0",42.979476397948,-81.334418433442
"Pin","7","0",42.980419598042,-81.341770534177
"Target","7","1",42.981790298179,-81.338834733883
"Target","7","2",42.98060319806,-81.340846234085
"Tee","7","0",42.983345498335,-81.336512733651
"Pin","8","0",42.979650997965,-81.341276434128
"Tee","8","0",42.979872397987,-81.342891034289
"Pin","9","0",42.976269697627,-81.343141234314
"Target","9","1",42.977148997715,-81.341884834188
"Tee","9","0",42.979328797933,-81.341306134131
"Pin","10","0",42.972289897229,-81.3470004347
"Target","10","1",42.974168197417,-81.345549634555
"Target","10","2",42.972974797297,-81.346546834655
"Tee","10","0",42.975708097571,-81.343210534321
"Pin","11","0",42.96940269694,-81.34479543448
"Target","11","1",42.969869796987,-81.346014034601
"Tee","11","0",42.971842597184,-81.347142634714
"Pin","12","0",42.972790297279,-81.344772034477
"Target","12","1",42.97150419715,-81.344586634459
"Tee","12","0",42.969214596921,-81.344256334426
"Pin","13","0",42.971359297136,-81.343620934362
"Tee","13","0",42.972840697284,-81.344275234428
"Pin","14","0",42.974916997492,-81.341912734191
"Target","14","1",42.973835197384,-81.341860534186
"Tee","14","0",42.97169859717,-81.342446434245
"Pin","15","0",42.973665097366,-81.33750003375
"Target","15","1",42.974260897426,-81.33790413379
"Tee","15","0",42.975751297575,-81.340153234015
"Pin","16","0",42.978125497813,-81.336657633666
"Target","16","1",42.975744097574,-81.338177733818
"Target","16","2",42.977567497757,-81.337305633731
"Tee","16","0",42.973538197354,-81.336939333694
"Pin","17","0",42.978427897843,-81.33909843391
"Tee","17","0",42.978516097852,-81.33639483364
"Pin","18","0",42.975853897585,-81.34079673408
"Target","18","1",42.976917697692,-81.340109134011
"Tee","18","0",42.978875197888,-81.339766233977
