"type","hole","numPoint","lat","lon"
"Pin","1","0",52.614889061489,-0.58541045854105
"Target","1","1",52.615033961503,-0.58377785837779
"Tee","1","0",52.616160761616,-0.58110845811085
"Pin","2","0",52.611660761166,-0.58725365872537
"Target","2","1",52.612432961243,-0.58616015861602
"Tee","2","0",52.614718061472,-0.58568675856868
"Pin","3","0",52.610131661013,-0.58395155839516
"Target","3","1",52.610153261015,-0.58540685854069
"Tee","3","0",52.611437561144,-0.58855415885542
"Pin","4","0",52.610434061043,-0.58855955885596
"Target","4","1",52.609858960986,-0.58716005871601
"Tee","4","0",52.609111960911,-0.58357355835736
"Pin","5","0",52.609333360933,-0.59041355904136
"Tee","5","0",52.610087561009,-0.58881425888143
"Pin","6","0",52.607082460708,-0.59399645939965
"Target","6","1",52.60830016083,-0.59175725917573
"Target","6","2",52.607335360734,-0.59360675936068
"Tee","6","0",52.60919656092,-0.58826435882644
"Pin","7","0",52.607770960777,-0.5903109590311
"Target","7","1",52.607128360713,-0.59140085914009
"Tee","7","0",52.606414660641,-0.59500535950054
"Pin","8","0",52.60849636085,-0.58633385863339
"Target","8","1",52.608080560808,-0.58749125874913
"Tee","8","0",52.608079660808,-0.59040275904028
"Pin","9","0",52.607546860755,-0.58932725893273
"Tee","9","0",52.607719660772,-0.58702865870287
"Pin","10","0",52.605439060544,-0.59292635929264
"Target","10","1",52.606005160601,-0.59121815912182
"Tee","10","0",52.607836660784,-0.5896809589681
"Pin","11","0",52.607193160719,-0.58781705878171
"Target","11","1",52.606390360639,-0.58954775895478
"Tee","11","0",52.604926060493,-0.59247275924728
"Pin","12","0",52.607917660792,-0.58632305863231
"Tee","12","0",52.606790860679,-0.5875569587557
"Pin","13","0",52.607634160763,-0.58047575804758
"Target","13","1",52.607653960765,-0.58307855830786
"Tee","13","0",52.608872560887,-0.58629605862961
"Pin","14","0",52.609817560982,-0.5785659578566
"Target","14","1",52.609221760922,-0.5792769579277
"Tee","14","0",52.607014060701,-0.58035245803525
"Pin","15","0",52.608466660847,-0.58249805824981
"Target","15","1",52.609145260915,-0.58128035812804
"Tee","15","0",52.610377361038,-0.57807815780782
"Pin","16","0",52.611447461145,-0.58236935823694
"Target","16","1",52.610386361039,-0.58286075828608
"Tee","16","0",52.608090460809,-0.5831469583147
"Pin","17","0",52.611460061146,-0.58550765855077
"Tee","17","0",52.611766061177,-0.58285445828545
"Pin","18","0",52.614958361496,-0.58154315815432
"Target","18","1",52.613057561306,-0.58396865839687
"Target","18","2",52.614575861458,-0.58189235818924
"Tee","18","0",52.611359261136,-0.58652915865292
