"type","hole","numPoint","lat","lon"
"Pin","1","0",55.775792877579,-2.002359800236
"Target","1","1",55.775706477571,-2.0009630000963
"Tee","1","0",55.774186377419,-1.9988407998841
"Pin","2","0",55.780013878001,-2.0050850005085
"Target","2","1",55.779147177915,-2.0053892005389
"Tee","2","0",55.777217577722,-2.0046566004657
"Pin","3","0",55.78439867844,-2.0006435000644
"Target","3","1",55.782857878286,-2.0029466002947
"Target","3","2",55.78419977842,-2.0010143001014
"Tee","3","0",55.780674478067,-2.0039933003993
"Pin","4","0",55.783651678365,-2.0046323004632
"Target","4","1",55.78430417843,-2.0033723003372
"Tee","4","0",55.784822578482,-2.0000612000061
"Pin","5","0",55.781240578124,-2.0051120005112
"Target","5","1",55.782070378207,-2.0046782004678
"Tee","5","0",55.783954978395,-2.0027333002733
"Pin","6","0",55.784419378442,-2.0060084006008
"Target","6","1",55.783394278339,-2.0056943005694
"Tee","6","0",55.781092078109,-2.0057456005746
"Pin","7","0",55.78520057852,-2.0008928000893
"Target","7","1",55.785533578553,-2.0025731002573
"Tee","7","0",55.784064778406,-2.0050265005027
"Pin","8","0",55.786318378632,-2.0024543002454
"Tee","8","0",55.785816178582,-2.0003807000381
"Pin","9","0",55.784840578484,-2.0073971007397
"Target","9","1",55.785174478517,-2.0058005005801
"Tee","9","0",55.786590178659,-2.0026631002663
"Pin","10","0",55.781044378104,-2.0062793006279
"Target","10","1",55.782947878295,-2.0065034006503
"Target","10","2",55.781347678135,-2.0063144006314
"Tee","10","0",55.784926078493,-2.0081270008127
"Pin","11","0",55.777672977767,-2.0053721005372
"Target","11","1",55.778563077856,-2.0059805005981
"Tee","11","0",55.780746478075,-2.0066924006692
"Pin","12","0",55.773881277388,-1.9992835999284
"Target","12","1",55.774430277443,-2.00019980002
"Tee","12","0",55.775883777588,-2.0030870003087
"Pin","13","0",55.771769877177,-1.9967410996741
"Target","13","1",55.772419677242,-1.9972261997226
"Tee","13","0",55.774008177401,-1.9986049998605
"Pin","14","0",55.773721977372,-1.9969579996958
"Tee","14","0",55.7720002772,-1.9962424996243
"Pin","15","0",55.769619776962,-1.994040199404
"Target","15","1",55.771275777128,-1.9952533995253
"Target","15","2",55.76989517699,-1.9943047994305
"Tee","15","0",55.773527577353,-1.9961137996114
"Pin","16","0",55.771828377183,-1.9943434994344
"Target","16","1",55.770988677099,-1.9940230994023
"Tee","16","0",55.768984376898,-1.9921627992163
"Pin","17","0",55.774124277412,-1.9956439995644
"Target","17","1",55.773505977351,-1.9945081994508
"Tee","17","0",55.771248777125,-1.9947664994767
"Pin","18","0",55.774058577406,-1.9973359997336
"Tee","18","0",55.774646277465,-1.9954693995469
