"type","hole","numPoint","lat","lon"
"Pin","1","0",44.948312994831,-0.71585467158547
"Target","1","1",44.948914194891,-0.71471167147117
"Tee","1","0",44.95070159507,-0.71266057126606
"Pin","2","0",44.952242395224,-0.71972287197229
"Target","2","1",44.950459495046,-0.71807407180741
"Target","2","2",44.951849995185,-0.71961757196176
"Tee","2","0",44.948366994837,-0.71671867167187
"Pin","3","0",44.95569749557,-0.71820727182073
"Target","3","1",44.954783095478,-0.71853577185358
"Tee","3","0",44.952745495275,-0.71992357199236
"Pin","4","0",44.953774195377,-0.71275417127542
"Target","4","1",44.953947895395,-0.71484937148494
"Tee","4","0",44.955355495536,-0.71742427174243
"Pin","5","0",44.955560695556,-0.71092447109245
"Tee","5","0",44.95450319545,-0.71201887120189
"Pin","6","0",44.952740095274,-0.71274067127407
"Target","6","1",44.953479895348,-0.71172907117291
"Tee","6","0",44.955485095549,-0.7101279710128
"Pin","7","0",44.953917295392,-0.71717137171714
"Target","7","1",44.953516795352,-0.71636317163632
"Tee","7","0",44.95289939529,-0.713349971335
"Pin","8","0",44.953180195318,-0.71808667180867
"Tee","8","0",44.954277295428,-0.71778067177807
"Pin","9","0",44.951661895166,-0.71323387132339
"Target","9","1",44.952122695212,-0.71512477151248
"Tee","9","0",44.952662695266,-0.71828737182874
"Pin","10","0",44.954333095433,-0.70730647073065
"Target","10","1",44.953255795326,-0.70931707093171
"Target","10","2",44.954250295425,-0.70769077076908
"Tee","10","0",44.951247895125,-0.71091007109101
"Pin","11","0",44.957474095747,-0.70975537097554
"Target","11","1",44.956934995693,-0.7089039708904
"Tee","11","0",44.954841595484,-0.70755037075504
"Pin","12","0",44.957819695782,-0.71199007119901
"Tee","12","0",44.957914195791,-0.70983817098382
"Pin","13","0",44.95690439569,-0.71731627173163
"Target","13","1",44.957448895745,-0.71586727158673
"Tee","13","0",44.957953795795,-0.71269207126921
"Pin","14","0",44.954522095452,-0.71265247126525
"Target","14","1",44.955035095504,-0.71529217152922
"Target","14","2",44.954460895446,-0.71336437133644
"Tee","14","0",44.95640039564,-0.71791207179121
"Pin","15","0",44.956439095644,-0.7165089716509
"Target","15","1",44.956271695627,-0.71541817154182
"Tee","15","0",44.955006295501,-0.71270017127002
"Pin","16","0",44.956558795656,-0.71024317102432
"Target","16","1",44.956856695686,-0.71222137122214
"Tee","16","0",44.956790995679,-0.7154739715474
"Pin","17","0",44.954934295493,-0.70844677084468
"Tee","17","0",44.956168195617,-0.71018467101847
"Pin","18","0",44.951785195179,-0.71193877119388
"Target","18","1",44.952911095291,-0.71108287110829
"Tee","18","0",44.954641795464,-0.70893727089373
