"type","hole","numPoint","lat","lon"
"Pin","1","0",39.99430119943,-75.329636732964
"Target","1","1",39.994045599405,-75.32910393291
"Tee","1","0",39.992312199231,-75.327472232747
"Pin","2","0",39.992443599244,-75.33289563329
"Target","2","1",39.99309879931,-75.332007333201
"Tee","2","0",39.994559499456,-75.329684432968
"Pin","3","0",39.990291699029,-75.33669633367
"Target","3","1",39.99150399915,-75.334849533485
"Target","3","2",39.990558999056,-75.336193233619
"Tee","3","0",39.993188799319,-75.33280113328
"Pin","4","0",39.988842698884,-75.338870733887
"Tee","4","0",39.989547398955,-75.336717033672
"Pin","5","0",39.986877998688,-75.336371433637
"Target","5","1",39.987615998762,-75.337287633729
"Tee","5","0",39.988877798888,-75.33980223398
"Pin","6","0",39.986582798658,-75.333788433379
"Tee","6","0",39.986470298647,-75.335274333527
"Pin","7","0",39.988290098829,-75.3320019332
"Target","7","1",39.987654698765,-75.332428533243
"Tee","7","0",39.986329898633,-75.33370023337
"Pin","8","0",39.98710479871,-75.334644333464
"Target","8","1",39.987256898726,-75.334483233448
"Tee","8","0",39.98810109881,-75.332455533246
"Pin","9","0",39.990719199072,-75.334539033454
"Target","9","1",39.98949969895,-75.334887333489
"Tee","9","0",39.98720469872,-75.335132133513
"Pin","10","0",39.990429399043,-75.330843633084
"Target","10","1",39.990456399046,-75.331746333175
"Tee","10","0",39.99090369909,-75.334584933458
"Pin","11","0",39.99340119934,-75.329142632914
"Target","11","1",39.992370699237,-75.329452232945
"Tee","11","0",39.990709299071,-75.331374633137
"Pin","12","0",39.991356399136,-75.331388133139
"Target","12","1",39.991952199195,-75.330982233098
"Tee","12","0",39.993694599369,-75.329459432946
"Pin","13","0",39.991138599114,-75.33430053343
"Target","13","1",39.991427499143,-75.333548133355
"Tee","13","0",39.992845899285,-75.331317933132
"Pin","14","0",39.988283798828,-75.337337133734
"Target","14","1",39.989346698935,-75.336367833637
"Tee","14","0",39.991241199124,-75.334660533466
"Pin","15","0",39.987170498717,-75.335373333537
"Tee","15","0",39.988039898804,-75.337490133749
"Pin","16","0",39.990152199015,-75.332332233233
"Target","16","1",39.988930898893,-75.333434733343
"Target","16","2",39.989835398984,-75.332595033259
"Tee","16","0",39.987013898701,-75.33509973351
"Pin","17","0",39.989574398957,-75.330816633082
"Tee","17","0",39.990205299021,-75.332092833209
"Pin","18","0",39.992052999205,-75.327592832759
"Target","18","1",39.99180009918,-75.32869893287
"Tee","18","0",39.99019899902,-75.330111033011
