"type","hole","numPoint","lat","lon"
"Pin","1","0",32.329540432954,-64.697064469706
"Target","1","1",32.330570033057,-64.696459669646
"Tee","1","0",32.33129723313,-64.694184469418
"Pin","2","0",32.327654932765,-64.701012770101
"Target","2","1",32.328770932877,-64.699759069976
"Target","2","2",32.327891632789,-64.700783270078
"Tee","2","0",32.329291132929,-64.69710496971
"Pin","3","0",32.326242832624,-64.70209907021
"Tee","3","0",32.327466832747,-64.701179270118
"Pin","4","0",32.326875532688,-64.70520227052
"Target","4","1",32.326842232684,-64.704381470438
"Tee","4","0",32.325982732598,-64.702063970206
"Pin","5","0",32.326682932668,-64.709019170902
"Target","5","1",32.327324632732,-64.707852770785
"Tee","5","0",32.326655032666,-64.705245470525
"Pin","6","0",32.32859993286,-64.706033870603
"Target","6","1",32.328313732831,-64.706691770669
"Tee","6","0",32.32740113274,-64.709193770919
"Pin","7","0",32.329005832901,-64.705122170512
"Tee","7","0",32.328819532882,-64.706731370673
"Pin","8","0",32.331218033122,-64.70569907057
"Target","8","1",32.330649233065,-64.705864670586
"Tee","8","0",32.32880153288,-64.70449757045
"Pin","9","0",32.332409633241,-64.70889857089
"Target","9","1",32.33220353322,-64.707664670766
"Tee","9","0",32.331612233161,-64.705031270503
"Pin","10","0",32.332779533278,-64.704853970485
"Target","10","1",32.332845233285,-64.706070770607
"Tee","10","0",32.332766033277,-64.708794170879
"Pin","11","0",32.329219132922,-64.703488670349
"Target","11","1",32.330769833077,-64.704867470487
"Target","11","2",32.329516132952,-64.703683970368
"Tee","11","0",32.332954133295,-64.704394970439
"Pin","12","0",32.331863333186,-64.700680670068
"Target","12","1",32.330652833065,-64.70090207009
"Tee","12","0",32.329105732911,-64.702919870292
"Pin","13","0",32.33259773326,-64.698754669875
"Tee","13","0",32.332076633208,-64.700991170099
"Pin","14","0",32.330019233002,-64.698706069871
"Target","14","1",32.330729333073,-64.698406369841
"Tee","14","0",32.332908233291,-64.698456769846
"Pin","15","0",32.333493233349,-64.696491169649
"Target","15","1",32.331733733173,-64.697356969736
"Target","15","2",32.333248433325,-64.69659646966
"Tee","15","0",32.329665532967,-64.698553069855
"Pin","16","0",32.331515033152,-64.694313169431
"Target","16","1",32.332288133229,-64.694622769462
"Tee","16","0",32.333774033377,-64.696509169651
"Pin","17","0",32.330084933009,-64.6959997696
"Tee","17","0",32.330973233097,-64.694355469436
"Pin","18","0",32.330868833087,-64.692652669265
"Target","18","1",32.33060243306,-64.693811869381
"Tee","18","0",32.329220932922,-64.695991669599
