"type","hole","numPoint","lat","lon"
"Pin","1","0",35.191374219137,-79.394759839476
"Target","1","1",35.191924119192,-79.39360153936
"Tee","1","0",35.192972619297,-79.391149939115
"Pin","2","0",35.189738918974,-79.395549139555
"Tee","2","0",35.191076319108,-79.394668939467
"Pin","3","0",35.190679419068,-79.391812339181
"Target","3","1",35.190467019047,-79.39329823933
"Tee","3","0",35.189309618931,-79.395733639573
"Pin","4","0",35.192216619222,-79.389688338969
"Target","4","1",35.191836819184,-79.39020313902
"Tee","4","0",35.190368919037,-79.391662039166
"Pin","5","0",35.191070019107,-79.394215339422
"Target","5","1",35.191652319165,-79.392274939227
"Target","5","2",35.191165419117,-79.393824739382
"Tee","5","0",35.192579319258,-79.38969643897
"Pin","6","0",35.191565019156,-79.39979983998
"Target","6","1",35.191538919154,-79.397688439769
"Target","6","2",35.191646019165,-79.399444339944
"Tee","6","0",35.191052019105,-79.394934439493
"Pin","7","0",35.194044519404,-79.397445439745
"Target","7","1",35.193436119344,-79.398327439833
"Tee","7","0",35.191949319195,-79.400344340034
"Pin","8","0",35.192847519285,-79.397112439711
"Tee","8","0",35.194305519431,-79.397043139704
"Pin","9","0",35.193908619391,-79.394135239414
"Target","9","1",35.193862719386,-79.395193639519
"Tee","9","0",35.192531619253,-79.396693039669
"Pin","10","0",35.195028219503,-79.399175239917
"Target","10","1",35.194659219466,-79.396856839686
"Target","10","2",35.194891419489,-79.398594739859
"Tee","10","0",35.194230819423,-79.394088439409
"Pin","11","0",35.194417119442,-79.398268039827
"Tee","11","0",35.194912119491,-79.399930339993
"Pin","12","0",35.192636919264,-79.400540540054
"Target","12","1",35.193428919343,-79.399750339975
"Tee","12","0",35.194353219435,-79.397224939722
"Pin","13","0",35.190778419078,-79.401460340146
"Tee","13","0",35.192690019269,-79.401106640111
"Pin","14","0",35.19240471924,-79.403455640346
"Target","14","1",35.191873719187,-79.402858940286
"Tee","14","0",35.190070119007,-79.401274940127
"Pin","15","0",35.188860518886,-79.400572040057
"Target","15","1",35.190518319052,-79.402348640235
"Target","15","2",35.189241218924,-79.401080540108
"Tee","15","0",35.192394819239,-79.403981240398
"Pin","16","0",35.191773819177,-79.400639540064
"Target","16","1",35.190573219057,-79.399956439996
"Tee","16","0",35.188281818828,-79.400229140023
"Pin","17","0",35.192067219207,-79.396508539651
"Target","17","1",35.192114919212,-79.397445439745
"Tee","17","0",35.191874619187,-79.400146340015
"Pin","18","0",35.192992419299,-79.39279963928
"Target","18","1",35.192487519249,-79.393891339389
"Tee","18","0",35.191705419171,-79.396540939654
