"type","hole","numPoint","lat","lon"
"Pin","1","0",53.680175068018,-1.2599056259906
"Target","1","1",53.680047268005,-1.2587230258723
"Tee","1","0",53.678194167819,-1.2570679257068
"Pin","2","0",53.683871368387,-1.2578806257881
"Target","2","1",53.682791368279,-1.2587014258701
"Tee","2","0",53.680638568064,-1.2598714259871
"Pin","3","0",53.681862568186,-1.2515509251551
"Target","3","1",53.68209656821,-1.2549385254939
"Target","3","2",53.681856268186,-1.2526831252683
"Tee","3","0",53.683676068368,-1.2573712257371
"Pin","4","0",53.683451968345,-1.2484666248467
"Target","4","1",53.682548368255,-1.2508237250824
"Tee","4","0",53.68250426825,-1.2540853254085
"Pin","5","0",53.682783268278,-1.2487213248721
"Tee","5","0",53.683657168366,-1.2473155247316
"Pin","6","0",53.681144368114,-1.2436786243679
"Target","6","1",53.681061568106,-1.2452644245264
"Tee","6","0",53.682564568256,-1.2480238248024
"Pin","7","0",53.680133668013,-1.2477529247753
"Target","7","1",53.680367668037,-1.2465739246574
"Tee","7","0",53.680913968091,-1.2428686242869
"Pin","8","0",53.67669926767,-1.2437587243759
"Target","8","1",53.678365167837,-1.2452644245264
"Target","8","2",53.676977367698,-1.2440512244051
"Tee","8","0",53.678832267883,-1.2487159248716
"Pin","9","0",53.679894267989,-1.2432061243206
"Target","9","1",53.679348867935,-1.243880224388
"Tee","9","0",53.677183467718,-1.2434644243464
"Pin","10","0",53.678987067899,-1.2472912247291
"Target","10","1",53.678933967893,-1.2460492246049
"Tee","10","0",53.680077868008,-1.2436840243684
"Pin","11","0",53.68230176823,-1.2487483248748
"Target","11","1",53.681453968145,-1.2472876247288
"Tee","11","0",53.679548667955,-1.2487690248769
"Pin","12","0",53.681660068166,-1.2550780255078
"Target","12","1",53.681231668123,-1.2525778252578
"Tee","12","0",53.681647468165,-1.2486835248684
"Pin","13","0",53.680605268061,-1.2513205251321
"Target","13","1",53.680690768069,-1.252109825211
"Tee","13","0",53.68129646813,-1.2555712255571
"Pin","14","0",53.680040068004,-1.2553975255398
"Target","14","1",53.680562068056,-1.2545443254544
"Tee","14","0",53.680000468,-1.2514222251422
"Pin","15","0",53.682749968275,-1.2577951257795
"Target","15","1",53.681894068189,-1.2563452256345
"Tee","15","0",53.679631467963,-1.2556225255623
"Pin","16","0",53.681030068103,-1.2584872258487
"Tee","16","0",53.682149668215,-1.257650225765
"Pin","17","0",53.679228267923,-1.2551446255145
"Target","17","1",53.679220167922,-1.2566539256654
"Tee","17","0",53.680688068069,-1.2586672258667
"Pin","18","0",53.678615367862,-1.2566026256603
"Tee","18","0",53.67860096786,-1.2544210254421
