"type","hole","numPoint","lat","lon"
"Pin","1","0",-44.944869594487,168.80906768091
"Target","1","1",-44.945819994582,168.81181448118
"Target","1","2",-44.945084694508,168.809999181
"Tee","1","0",-44.947369794737,168.81363248136
"Pin","2","0",-44.946082794608,168.81364328136
"Target","2","1",-44.945325894533,168.8119620812
"Tee","2","0",-44.944046094405,168.80925848093
"Pin","3","0",-44.944578894458,168.81727478173
"Target","3","1",-44.945121594512,168.8160219816
"Tee","3","0",-44.946729894673,168.81369458137
"Pin","4","0",-44.945027094503,168.81912608191
"Tee","4","0",-44.943861594386,168.81718388172
"Pin","5","0",-44.947051194705,168.81436238144
"Target","5","1",-44.946224994622,168.81554408155
"Tee","5","0",-44.945047794505,168.81834038183
"Pin","6","0",-44.945813694581,168.80847728085
"Target","6","1",-44.946814494681,168.80955638096
"Tee","6","0",-44.948108694811,168.81142568114
"Pin","7","0",-44.947968294797,168.80776718078
"Target","7","1",-44.94759749476,168.80858618086
"Tee","7","0",-44.945410494541,168.8080398808
"Pin","8","0",-44.948366994837,168.81089648109
"Target","8","1",-44.948594694859,168.80946098095
"Tee","8","0",-44.948146494815,168.80627048063
"Pin","9","0",-44.948163594816,168.81325988133
"Tee","9","0",-44.948575794858,168.81144908114
